iso,vaccine,date,total_vaccinations
ARG,CanSino,8/23/2022,957657
ARG,Moderna,8/23/2022,12660769
ARG,Oxford/AstraZeneca,8/23/2022,26780810
ARG,Pfizer/BioNTech,8/23/2022,19096220
ARG,Sinopharm/Beijing,8/23/2022,28868289
ARG,Sputnik V,8/23/2022,20694629
ARG,CanSino,8/24/2022,958660
ARG,Moderna,8/24/2022,12696424
ARG,Oxford/AstraZeneca,8/24/2022,26780816
ARG,Pfizer/BioNTech,8/24/2022,19099437
ARG,Sinopharm/Beijing,8/24/2022,28869849
ARG,Sputnik V,8/24/2022,20696868
ARG,CanSino,8/25/2022,959703
ARG,Moderna,8/25/2022,12726978
ARG,Oxford/AstraZeneca,8/25/2022,26780823
ARG,Pfizer/BioNTech,8/25/2022,19102889
ARG,Sinopharm/Beijing,8/25/2022,28871529
ARG,Sputnik V,8/25/2022,20699122
ARG,CanSino,8/26/2022,960914
ARG,Moderna,8/26/2022,12757351
ARG,Oxford/AstraZeneca,8/26/2022,26780825
ARG,Pfizer/BioNTech,8/26/2022,19107464
ARG,Sinopharm/Beijing,8/26/2022,28872853
ARG,Sputnik V,8/26/2022,20702416
ARG,CanSino,8/27/2022,960998
ARG,Moderna,8/27/2022,12763220
ARG,Pfizer/BioNTech,8/27/2022,19108658
ARG,Sinopharm/Beijing,8/27/2022,28873078
ARG,Sputnik V,8/27/2022,20702634
ARG,CanSino,8/28/2022,961028
ARG,Moderna,8/28/2022,12765885
ARG,Pfizer/BioNTech,8/28/2022,19108931
ARG,Sinopharm/Beijing,8/28/2022,28873182
ARG,Sputnik V,8/28/2022,20702719
ARG,CanSino,8/29/2022,961950
ARG,Moderna,8/29/2022,12791216
ARG,Pfizer/BioNTech,8/29/2022,19112348
ARG,Sinopharm/Beijing,8/29/2022,28874311
ARG,Sputnik V,8/29/2022,20706134
ARG,CanSino,8/30/2022,962919
ARG,Moderna,8/30/2022,12814757
ARG,Oxford/AstraZeneca,8/30/2022,26780830
ARG,Pfizer/BioNTech,8/30/2022,19116039
ARG,Sinopharm/Beijing,8/30/2022,28875585
ARG,Sputnik V,8/30/2022,20708551
ARG,CanSino,8/31/2022,963790
ARG,Moderna,8/31/2022,12838046
ARG,Oxford/AstraZeneca,8/31/2022,26780835
ARG,Pfizer/BioNTech,8/31/2022,19120035
ARG,Sinopharm/Beijing,8/31/2022,28877015
ARG,Sputnik V,8/31/2022,20711134
ARG,CanSino,9/1/2022,964713
ARG,Moderna,9/1/2022,12860057
ARG,Oxford/AstraZeneca,9/1/2022,26780837
ARG,Pfizer/BioNTech,9/1/2022,19122395
ARG,Sinopharm/Beijing,9/1/2022,28878321
ARG,Sputnik V,9/1/2022,20713105
ARG,CanSino,9/2/2022,964845
ARG,Moderna,9/2/2022,12864844
ARG,Oxford/AstraZeneca,9/2/2022,26780846
ARG,Pfizer/BioNTech,9/2/2022,19123158
ARG,Sinopharm/Beijing,9/2/2022,28878566
ARG,Sputnik V,9/2/2022,20713341
ARG,CanSino,9/3/2022,964949
ARG,Moderna,9/3/2022,12869917
ARG,Pfizer/BioNTech,9/3/2022,19123750
ARG,Sinopharm/Beijing,9/3/2022,28878725
ARG,Sputnik V,9/3/2022,20713501
ARG,CanSino,9/4/2022,964957
ARG,Moderna,9/4/2022,12871740
ARG,Oxford/AstraZeneca,9/4/2022,26780847
ARG,Pfizer/BioNTech,9/4/2022,19123873
ARG,Sinopharm/Beijing,9/4/2022,28878766
ARG,Sputnik V,9/4/2022,20713540
ARG,CanSino,9/5/2022,966006
ARG,Moderna,9/5/2022,12894098
ARG,Oxford/AstraZeneca,9/5/2022,26780848
ARG,Pfizer/BioNTech,9/5/2022,19126442
ARG,Sinopharm/Beijing,9/5/2022,28879789
ARG,Sputnik V,9/5/2022,20716112
ARG,CanSino,9/6/2022,966930
ARG,Moderna,9/6/2022,12918162
ARG,Oxford/AstraZeneca,9/6/2022,26780850
ARG,Pfizer/BioNTech,9/6/2022,19129176
ARG,Sinopharm/Beijing,9/6/2022,28881047
ARG,Sputnik V,9/6/2022,20718746
ARG,CanSino,9/7/2022,967883
ARG,Moderna,9/7/2022,12940690
ARG,Oxford/AstraZeneca,9/7/2022,26780853
ARG,Pfizer/BioNTech,9/7/2022,19131818
ARG,Sinopharm/Beijing,9/7/2022,28882264
ARG,Sputnik V,9/7/2022,20721397
ARG,CanSino,9/8/2022,968954
ARG,Moderna,9/8/2022,12962156
ARG,Oxford/AstraZeneca,9/8/2022,26780854
ARG,Pfizer/BioNTech,9/8/2022,19134384
ARG,Sinopharm/Beijing,9/8/2022,28883368
ARG,Sputnik V,9/8/2022,20723368
ARG,CanSino,9/9/2022,969969
ARG,Moderna,9/9/2022,12984885
ARG,Pfizer/BioNTech,9/9/2022,19137385
ARG,Sinopharm/Beijing,9/9/2022,28884557
ARG,Sputnik V,9/9/2022,20725524
ARG,CanSino,9/10/2022,970093
ARG,Moderna,9/10/2022,12989609
ARG,Pfizer/BioNTech,9/10/2022,19138041
ARG,Sinopharm/Beijing,9/10/2022,28884720
ARG,Sputnik V,9/10/2022,20725710
ARG,CanSino,9/11/2022,970123
ARG,Moderna,9/11/2022,12991270
ARG,Pfizer/BioNTech,9/11/2022,19138155
ARG,Sinopharm/Beijing,9/11/2022,28884753
ARG,Sputnik V,9/11/2022,20725745
ARG,CanSino,9/12/2022,971363
ARG,Moderna,9/12/2022,13010610
ARG,Oxford/AstraZeneca,9/12/2022,26780855
ARG,Pfizer/BioNTech,9/12/2022,19140677
ARG,Sinopharm/Beijing,9/12/2022,28885744
ARG,Sputnik V,9/12/2022,20727695
ARG,CanSino,9/13/2022,972285
ARG,Moderna,9/13/2022,13030393
ARG,Oxford/AstraZeneca,9/13/2022,26780860
ARG,Pfizer/BioNTech,9/13/2022,19143460
ARG,Sinopharm/Beijing,9/13/2022,28886927
ARG,Sputnik V,9/13/2022,20729606
ARG,CanSino,9/14/2022,973183
ARG,Moderna,9/14/2022,13049724
ARG,Oxford/AstraZeneca,9/14/2022,26780864
ARG,Pfizer/BioNTech,9/14/2022,19146297
ARG,Sinopharm/Beijing,9/14/2022,28887989
ARG,Sputnik V,9/14/2022,20731473
ARG,CanSino,9/15/2022,974071
ARG,Moderna,9/15/2022,13068027
ARG,Oxford/AstraZeneca,9/15/2022,26780865
ARG,Pfizer/BioNTech,9/15/2022,19149048
ARG,Sinopharm/Beijing,9/15/2022,28889143
ARG,Sputnik V,9/15/2022,20733151
ARG,CanSino,9/16/2022,975168
ARG,Moderna,9/16/2022,13087255
ARG,Oxford/AstraZeneca,9/16/2022,26780877
ARG,Pfizer/BioNTech,9/16/2022,19151986
ARG,Sinopharm/Beijing,9/16/2022,28890268
ARG,Sputnik V,9/16/2022,20735276
ARG,CanSino,9/17/2022,975302
ARG,Moderna,9/17/2022,13090538
ARG,Oxford/AstraZeneca,9/17/2022,26780879
ARG,Pfizer/BioNTech,9/17/2022,19152556
ARG,Sinopharm/Beijing,9/17/2022,28890409
ARG,Sputnik V,9/17/2022,20735374
ARG,CanSino,9/18/2022,975343
ARG,Moderna,9/18/2022,13091948
ARG,Pfizer/BioNTech,9/18/2022,19152614
ARG,Sinopharm/Beijing,9/18/2022,28890439
ARG,Sputnik V,9/18/2022,20735393
ARG,CanSino,9/19/2022,976385
ARG,Moderna,9/19/2022,13107245
ARG,Oxford/AstraZeneca,9/19/2022,26780880
ARG,Pfizer/BioNTech,9/19/2022,19154853
ARG,Sinopharm/Beijing,9/19/2022,28891204
ARG,Sputnik V,9/19/2022,20737824
ARG,CanSino,9/20/2022,977394
ARG,Moderna,9/20/2022,13122664
ARG,Oxford/AstraZeneca,9/20/2022,26780885
ARG,Pfizer/BioNTech,9/20/2022,19157375
ARG,Sinopharm/Beijing,9/20/2022,28892023
ARG,Sputnik V,9/20/2022,20739600
ARG,CanSino,9/21/2022,977931
ARG,Moderna,9/21/2022,13135086
ARG,Oxford/AstraZeneca,9/21/2022,26780886
ARG,Pfizer/BioNTech,9/21/2022,19160059
ARG,Sinopharm/Beijing,9/21/2022,28892626
ARG,Sputnik V,9/21/2022,20741021
ARG,CanSino,9/22/2022,979025
ARG,Moderna,9/22/2022,13151534
ARG,Oxford/AstraZeneca,9/22/2022,26780887
ARG,Pfizer/BioNTech,9/22/2022,19164016
ARG,Sinopharm/Beijing,9/22/2022,28893508
ARG,Sputnik V,9/22/2022,20742902
ARG,CanSino,9/23/2022,980416
ARG,Moderna,9/23/2022,13168420
ARG,Oxford/AstraZeneca,9/23/2022,26780888
ARG,Pfizer/BioNTech,9/23/2022,19167862
ARG,Sinopharm/Beijing,9/23/2022,28894397
ARG,Sputnik V,9/23/2022,20744485
ARG,CanSino,9/24/2022,980539
ARG,Moderna,9/24/2022,13170965
ARG,Pfizer/BioNTech,9/24/2022,19168543
ARG,Sinopharm/Beijing,9/24/2022,28894507
ARG,Sputnik V,9/24/2022,20744750
ARG,CanSino,9/25/2022,980579
ARG,Moderna,9/25/2022,13171843
ARG,Pfizer/BioNTech,9/25/2022,19169020
ARG,Sinopharm/Beijing,9/25/2022,28894530
ARG,Sputnik V,9/25/2022,20744799
ARG,CanSino,9/26/2022,981338
ARG,Moderna,9/26/2022,13186240
ARG,Pfizer/BioNTech,9/26/2022,19172042
ARG,Sinopharm/Beijing,9/26/2022,28895341
ARG,Sputnik V,9/26/2022,20746897
ARG,CanSino,9/27/2022,982239
ARG,Moderna,9/27/2022,13199626
ARG,Pfizer/BioNTech,9/27/2022,19174424
ARG,Sinopharm/Beijing,9/27/2022,28896247
ARG,Sputnik V,9/27/2022,20748516
ARG,CanSino,9/28/2022,982969
ARG,Moderna,9/28/2022,13212187
ARG,Oxford/AstraZeneca,9/28/2022,26780889
ARG,Pfizer/BioNTech,9/28/2022,19176621
ARG,Sinopharm/Beijing,9/28/2022,28897042
ARG,Sputnik V,9/28/2022,20750114
ARG,CanSino,9/29/2022,983771
ARG,Moderna,9/29/2022,13225333
ARG,Pfizer/BioNTech,9/29/2022,19179360
ARG,Sinopharm/Beijing,9/29/2022,28897966
ARG,Sputnik V,9/29/2022,20751669
ARG,CanSino,9/30/2022,984640
ARG,Moderna,9/30/2022,13238944
ARG,Oxford/AstraZeneca,9/30/2022,26780890
ARG,Pfizer/BioNTech,9/30/2022,19182049
ARG,Sinopharm/Beijing,9/30/2022,28898801
ARG,Sputnik V,9/30/2022,20753059
ARG,CanSino,10/1/2022,984785
ARG,Moderna,10/1/2022,13241088
ARG,Oxford/AstraZeneca,10/1/2022,26780892
ARG,Pfizer/BioNTech,10/1/2022,19182461
ARG,Sinopharm/Beijing,10/1/2022,28898928
ARG,Sputnik V,10/1/2022,20753069
ARG,CanSino,10/2/2022,984803
ARG,Moderna,10/2/2022,13241671
ARG,Pfizer/BioNTech,10/2/2022,19182586
ARG,Sinopharm/Beijing,10/2/2022,28898964
ARG,CanSino,10/3/2022,985644
ARG,Moderna,10/3/2022,13254039
ARG,Oxford/AstraZeneca,10/3/2022,26780896
ARG,Pfizer/BioNTech,10/3/2022,19184662
ARG,Sinopharm/Beijing,10/3/2022,28899837
ARG,Sputnik V,10/3/2022,20753250
ARG,CanSino,10/4/2022,986551
ARG,Moderna,10/4/2022,13266516
ARG,Oxford/AstraZeneca,10/4/2022,26780901
ARG,Pfizer/BioNTech,10/4/2022,19186519
ARG,Sinopharm/Beijing,10/4/2022,28900835
ARG,Sputnik V,10/4/2022,20753352
ARG,CanSino,10/5/2022,987311
ARG,Moderna,10/5/2022,13278721
ARG,Oxford/AstraZeneca,10/5/2022,26780904
ARG,Pfizer/BioNTech,10/5/2022,19188595
ARG,Sinopharm/Beijing,10/5/2022,28901733
ARG,Sputnik V,10/5/2022,20753433
ARG,CanSino,10/6/2022,988100
ARG,Moderna,10/6/2022,13292851
ARG,Oxford/AstraZeneca,10/6/2022,26780930
ARG,Pfizer/BioNTech,10/6/2022,19190981
ARG,Sinopharm/Beijing,10/6/2022,28902675
ARG,Sputnik V,10/6/2022,20753584
ARG,CanSino,10/7/2022,988174
ARG,Moderna,10/7/2022,13294997
ARG,Oxford/AstraZeneca,10/7/2022,26780932
ARG,Pfizer/BioNTech,10/7/2022,19191292
ARG,Sinopharm/Beijing,10/7/2022,28902770
ARG,CanSino,10/8/2022,988200
ARG,Moderna,10/8/2022,13296594
ARG,Pfizer/BioNTech,10/8/2022,19191501
ARG,Sinopharm/Beijing,10/8/2022,28902835
ARG,Moderna,10/9/2022,13297325
ARG,Pfizer/BioNTech,10/9/2022,19191537
ARG,Sinopharm/Beijing,10/9/2022,28902857
ARG,CanSino,10/10/2022,988204
ARG,Moderna,10/10/2022,13298222
ARG,Oxford/AstraZeneca,10/10/2022,26780936
ARG,Pfizer/BioNTech,10/10/2022,19191823
ARG,Sinopharm/Beijing,10/10/2022,28902937
ARG,Sputnik V,10/10/2022,20753586
ARG,CanSino,10/11/2022,988239
ARG,Moderna,10/11/2022,13309554
ARG,Oxford/AstraZeneca,10/11/2022,26780938
ARG,Pfizer/BioNTech,10/11/2022,19193855
ARG,Sinopharm/Beijing,10/11/2022,28903723
ARG,Sputnik V,10/11/2022,20753699
ARG,CanSino,10/12/2022,988276
ARG,Moderna,10/12/2022,13320665
ARG,Oxford/AstraZeneca,10/12/2022,26780939
ARG,Pfizer/BioNTech,10/12/2022,19195874
ARG,Sinopharm/Beijing,10/12/2022,28904524
ARG,Sputnik V,10/12/2022,20753846
ARG,CanSino,10/13/2022,988323
ARG,Moderna,10/13/2022,13331861
ARG,Oxford/AstraZeneca,10/13/2022,26780940
ARG,Pfizer/BioNTech,10/13/2022,19197888
ARG,Sinopharm/Beijing,10/13/2022,28905395
ARG,Sputnik V,10/13/2022,20753924
ARG,CanSino,10/14/2022,988351
ARG,Moderna,10/14/2022,13343294
ARG,Oxford/AstraZeneca,10/14/2022,26780943
ARG,Pfizer/BioNTech,10/14/2022,19200040
ARG,Sinopharm/Beijing,10/14/2022,28906223
ARG,Sputnik V,10/14/2022,20754087
ARG,CanSino,10/15/2022,988362
ARG,Moderna,10/15/2022,13344974
ARG,Pfizer/BioNTech,10/15/2022,19200405
ARG,Sinopharm/Beijing,10/15/2022,28906306
ARG,CanSino,10/16/2022,988363
ARG,Moderna,10/16/2022,13345319
ARG,Oxford/AstraZeneca,10/16/2022,26780944
ARG,Pfizer/BioNTech,10/16/2022,19200429
ARG,Sinopharm/Beijing,10/16/2022,28906312
ARG,CanSino,10/17/2022,988374
ARG,Moderna,10/17/2022,13354510
ARG,Oxford/AstraZeneca,10/17/2022,26780945
ARG,Pfizer/BioNTech,10/17/2022,19202414
ARG,Sinopharm/Beijing,10/17/2022,28907012
ARG,Sputnik V,10/17/2022,20754162
ARG,CanSino,10/18/2022,988385
ARG,Moderna,10/18/2022,13365158
ARG,Oxford/AstraZeneca,10/18/2022,26780949
ARG,Pfizer/BioNTech,10/18/2022,19204271
ARG,Sinopharm/Beijing,10/18/2022,28907787
ARG,Sputnik V,10/18/2022,20754281
ARG,CanSino,10/19/2022,988394
ARG,Moderna,10/19/2022,13376166
ARG,Oxford/AstraZeneca,10/19/2022,26780953
ARG,Pfizer/BioNTech,10/19/2022,19206365
ARG,Sinopharm/Beijing,10/19/2022,28908704
ARG,Sputnik V,10/19/2022,20754448
ARG,CanSino,10/20/2022,988405
ARG,Moderna,10/20/2022,13387966
ARG,Oxford/AstraZeneca,10/20/2022,26780954
ARG,Pfizer/BioNTech,10/20/2022,19208249
ARG,Sinopharm/Beijing,10/20/2022,28909527
ARG,Sputnik V,10/20/2022,20754600
ARG,CanSino,10/21/2022,988415
ARG,Moderna,10/21/2022,13400868
ARG,Oxford/AstraZeneca,10/21/2022,26780959
ARG,Pfizer/BioNTech,10/21/2022,19210165
ARG,Sinopharm/Beijing,10/21/2022,28910460
ARG,Sputnik V,10/21/2022,20754769
ARG,CanSino,10/22/2022,988418
ARG,Moderna,10/22/2022,13403196
ARG,Pfizer/BioNTech,10/22/2022,19210446
ARG,Sinopharm/Beijing,10/22/2022,28910553
ARG,Sputnik V,10/22/2022,20754770
ARG,Moderna,10/23/2022,13404079
ARG,Oxford/AstraZeneca,10/23/2022,26780960
ARG,Pfizer/BioNTech,10/23/2022,19210471
ARG,Sinopharm/Beijing,10/23/2022,28910582
ARG,CanSino,10/24/2022,988426
ARG,Moderna,10/24/2022,13413519
ARG,Oxford/AstraZeneca,10/24/2022,26780961
ARG,Pfizer/BioNTech,10/24/2022,19213034
ARG,Sinopharm/Beijing,10/24/2022,28911302
ARG,Sputnik V,10/24/2022,20754988
ARG,CanSino,10/25/2022,988438
ARG,Moderna,10/25/2022,13423464
ARG,Oxford/AstraZeneca,10/25/2022,26780962
ARG,Pfizer/BioNTech,10/25/2022,19215557
ARG,Sinopharm/Beijing,10/25/2022,28912047
ARG,Sputnik V,10/25/2022,20755224
ARG,CanSino,10/26/2022,988446
ARG,Moderna,10/26/2022,13431006
ARG,Oxford/AstraZeneca,10/26/2022,26780963
ARG,Pfizer/BioNTech,10/26/2022,19218385
ARG,Sinopharm/Beijing,10/26/2022,28912687
ARG,Sputnik V,10/26/2022,20755446
ARG,CanSino,10/27/2022,988454
ARG,Moderna,10/27/2022,13440187
ARG,Oxford/AstraZeneca,10/27/2022,26780965
ARG,Pfizer/BioNTech,10/27/2022,19221734
ARG,Sinopharm/Beijing,10/27/2022,28913538
ARG,Sputnik V,10/27/2022,20755661
ARG,CanSino,10/28/2022,988473
ARG,Moderna,10/28/2022,13449328
ARG,Oxford/AstraZeneca,10/28/2022,26780968
ARG,Pfizer/BioNTech,10/28/2022,19224843
ARG,Sinopharm/Beijing,10/28/2022,28914288
ARG,Sputnik V,10/28/2022,20755864
ARG,Moderna,10/29/2022,13450542
ARG,Oxford/AstraZeneca,10/29/2022,26780969
ARG,Pfizer/BioNTech,10/29/2022,19225249
ARG,Sinopharm/Beijing,10/29/2022,28914383
ARG,Sputnik V,10/29/2022,20755912
ARG,Moderna,10/30/2022,13450855
ARG,Oxford/AstraZeneca,10/30/2022,26780970
ARG,Pfizer/BioNTech,10/30/2022,19225302
ARG,Sinopharm/Beijing,10/30/2022,28914391
ARG,Sputnik V,10/30/2022,20755916
ARG,CanSino,10/31/2022,988493
ARG,Moderna,10/31/2022,13458957
ARG,Oxford/AstraZeneca,10/31/2022,26780971
ARG,Pfizer/BioNTech,10/31/2022,19228348
ARG,Sinopharm/Beijing,10/31/2022,28914952
ARG,Sputnik V,10/31/2022,20756084
ARG,CanSino,11/1/2022,988495
ARG,Moderna,11/1/2022,13468928
ARG,Pfizer/BioNTech,11/1/2022,19231431
ARG,Sinopharm/Beijing,11/1/2022,28915547
ARG,Sputnik V,11/1/2022,20756110
ARG,CanSino,11/2/2022,988499
ARG,Moderna,11/2/2022,13479737
ARG,Pfizer/BioNTech,11/2/2022,19235561
ARG,Sinopharm/Beijing,11/2/2022,28916107
ARG,Sputnik V,11/2/2022,20756128
ARG,CanSino,11/3/2022,988513
ARG,Moderna,11/3/2022,13494098
ARG,Oxford/AstraZeneca,11/3/2022,26780975
ARG,Pfizer/BioNTech,11/3/2022,19240616
ARG,Sinopharm/Beijing,11/3/2022,28916772
ARG,Sputnik V,11/3/2022,20756151
ARG,CanSino,11/4/2022,988520
ARG,Moderna,11/4/2022,13512199
ARG,Pfizer/BioNTech,11/4/2022,19245985
ARG,Sinopharm/Beijing,11/4/2022,28917630
ARG,Sputnik V,11/4/2022,20756201
ARG,CanSino,11/5/2022,988521
ARG,Moderna,11/5/2022,13515237
ARG,Pfizer/BioNTech,11/5/2022,19246802
ARG,Sinopharm/Beijing,11/5/2022,28917739
ARG,Sputnik V,11/5/2022,20756203
ARG,Moderna,11/6/2022,13519819
ARG,Pfizer/BioNTech,11/6/2022,19246919
ARG,Sinopharm/Beijing,11/6/2022,28917746
ARG,CanSino,11/7/2022,988528
ARG,Moderna,11/7/2022,13539393
ARG,Pfizer/BioNTech,11/7/2022,19251266
ARG,Sinopharm/Beijing,11/7/2022,28918313
ARG,Sputnik V,11/7/2022,20756230
ARG,CanSino,11/8/2022,988538
ARG,Moderna,11/8/2022,13558944
ARG,Oxford/AstraZeneca,11/8/2022,26780978
ARG,Pfizer/BioNTech,11/8/2022,19255900
ARG,Sinopharm/Beijing,11/8/2022,28918979
ARG,Sputnik V,11/8/2022,20756241
ARG,CanSino,11/9/2022,988540
ARG,Moderna,11/9/2022,13580673
ARG,Oxford/AstraZeneca,11/9/2022,26780982
ARG,Pfizer/BioNTech,11/9/2022,19260370
ARG,Sinopharm/Beijing,11/9/2022,28919692
ARG,Sputnik V,11/9/2022,20756299
ARG,CanSino,11/10/2022,988546
ARG,Moderna,11/10/2022,13600547
ARG,Oxford/AstraZeneca,11/10/2022,26780985
ARG,Pfizer/BioNTech,11/10/2022,19265227
ARG,Sinopharm/Beijing,11/10/2022,28920413
ARG,Sputnik V,11/10/2022,20756354
ARG,Moderna,11/11/2022,13622952
ARG,Oxford/AstraZeneca,11/11/2022,26780986
ARG,Pfizer/BioNTech,11/11/2022,19270021
ARG,Sinopharm/Beijing,11/11/2022,28921160
ARG,Sputnik V,11/11/2022,20756490
ARG,Moderna,11/12/2022,13626492
ARG,Pfizer/BioNTech,11/12/2022,19270617
ARG,Sinopharm/Beijing,11/12/2022,28921256
ARG,Sputnik V,11/12/2022,20756492
ARG,Moderna,11/13/2022,13627654
ARG,Pfizer/BioNTech,11/13/2022,19270711
ARG,Sinopharm/Beijing,11/13/2022,28921273
ARG,CanSino,11/14/2022,988547
ARG,Moderna,11/14/2022,13649208
ARG,Oxford/AstraZeneca,11/14/2022,26780987
ARG,Pfizer/BioNTech,11/14/2022,19274836
ARG,Sinopharm/Beijing,11/14/2022,28921825
ARG,Sputnik V,11/14/2022,20756551
ARG,CanSino,11/15/2022,988556
ARG,Moderna,11/15/2022,13671679
ARG,Oxford/AstraZeneca,11/15/2022,26780993
ARG,Pfizer/BioNTech,11/15/2022,19279008
ARG,Sinopharm/Beijing,11/15/2022,28922439
ARG,Sputnik V,11/15/2022,20756635
ARG,CanSino,11/16/2022,988562
ARG,Moderna,11/16/2022,13692054
ARG,Oxford/AstraZeneca,11/16/2022,26780997
ARG,Pfizer/BioNTech,11/16/2022,19283860
ARG,Sinopharm/Beijing,11/16/2022,28922996
ARG,Sputnik V,11/16/2022,20756708
ARG,CanSino,11/17/2022,988563
ARG,Moderna,11/17/2022,13711402
ARG,Pfizer/BioNTech,11/17/2022,19288045
ARG,Sinopharm/Beijing,11/17/2022,28923507
ARG,Sputnik V,11/17/2022,20756752
ARG,CanSino,11/18/2022,988571
ARG,Moderna,11/18/2022,13731998
ARG,Oxford/AstraZeneca,11/18/2022,26780998
ARG,Pfizer/BioNTech,11/18/2022,19291968
ARG,Sinopharm/Beijing,11/18/2022,28923997
ARG,Sputnik V,11/18/2022,20756793
ARG,Moderna,11/19/2022,13735684
ARG,Pfizer/BioNTech,11/19/2022,19292619
ARG,Sinopharm/Beijing,11/19/2022,28924065
ARG,CanSino,11/20/2022,988572
ARG,Moderna,11/20/2022,13736437
ARG,Pfizer/BioNTech,11/20/2022,19292661
ARG,Sinopharm/Beijing,11/20/2022,28924076
ARG,CanSino,11/21/2022,988573
ARG,Moderna,11/21/2022,13737995
ARG,Oxford/AstraZeneca,11/21/2022,26780999
ARG,Pfizer/BioNTech,11/21/2022,19292838
ARG,Sinopharm/Beijing,11/21/2022,28924095
ARG,CanSino,11/22/2022,988578
ARG,Moderna,11/22/2022,13754000
ARG,Oxford/AstraZeneca,11/22/2022,26781000
ARG,Pfizer/BioNTech,11/22/2022,19295178
ARG,Sinopharm/Beijing,11/22/2022,28924505
ARG,Sputnik V,11/22/2022,20756820
ARG,CanSino,11/23/2022,988583
ARG,Moderna,11/23/2022,13774948
ARG,Oxford/AstraZeneca,11/23/2022,26781003
ARG,Pfizer/BioNTech,11/23/2022,19297811
ARG,Sinopharm/Beijing,11/23/2022,28924968
ARG,Sputnik V,11/23/2022,20756833
ARG,CanSino,11/24/2022,988584
ARG,Moderna,11/24/2022,13799658
ARG,Oxford/AstraZeneca,11/24/2022,26781005
ARG,Pfizer/BioNTech,11/24/2022,19301227
ARG,Sinopharm/Beijing,11/24/2022,28925419
ARG,Sputnik V,11/24/2022,20756885
ARG,CanSino,11/25/2022,988585
ARG,Moderna,11/25/2022,13826873
ARG,Oxford/AstraZeneca,11/25/2022,26781008
ARG,Pfizer/BioNTech,11/25/2022,19305655
ARG,Sinopharm/Beijing,11/25/2022,28925918
ARG,Sputnik V,11/25/2022,20756937
ARG,Moderna,11/26/2022,13830643
ARG,Oxford/AstraZeneca,11/26/2022,26781009
ARG,Pfizer/BioNTech,11/26/2022,19305952
ARG,Sinopharm/Beijing,11/26/2022,28925947
ARG,Sputnik V,11/26/2022,20756940
ARG,Moderna,11/27/2022,13832256
ARG,Pfizer/BioNTech,11/27/2022,19306032
ARG,Sinopharm/Beijing,11/27/2022,28925956
ARG,CanSino,11/28/2022,988587
ARG,Moderna,11/28/2022,13867156
ARG,Pfizer/BioNTech,11/28/2022,19311447
ARG,Sinopharm/Beijing,11/28/2022,28926454
ARG,Sputnik V,11/28/2022,20756955
ARG,CanSino,11/29/2022,988588
ARG,Moderna,11/29/2022,13919222
ARG,Oxford/AstraZeneca,11/29/2022,26781022
ARG,Pfizer/BioNTech,11/29/2022,19318575
ARG,Sinopharm/Beijing,11/29/2022,28927021
ARG,Sputnik V,11/29/2022,20757003
ARG,CanSino,11/30/2022,988598
ARG,Moderna,11/30/2022,13980510
ARG,Oxford/AstraZeneca,11/30/2022,26781027
ARG,Pfizer/BioNTech,11/30/2022,19325842
ARG,Sinopharm/Beijing,11/30/2022,28927498
ARG,Sputnik V,11/30/2022,20757508
ARG,Moderna,12/1/2022,14046861
ARG,Oxford/AstraZeneca,12/1/2022,26781028
ARG,Pfizer/BioNTech,12/1/2022,19331602
ARG,Sinopharm/Beijing,12/1/2022,28927994
ARG,Sputnik V,12/1/2022,20757710
ARG,CanSino,12/2/2022,988600
ARG,Moderna,12/2/2022,14124522
ARG,Oxford/AstraZeneca,12/2/2022,26781031
ARG,Pfizer/BioNTech,12/2/2022,19338345
ARG,Sinopharm/Beijing,12/2/2022,28928454
ARG,Sputnik V,12/2/2022,20757940
ARG,Moderna,12/3/2022,14140033
ARG,Pfizer/BioNTech,12/3/2022,19339321
ARG,Sinopharm/Beijing,12/3/2022,28928516
ARG,Moderna,12/4/2022,14147040
ARG,Pfizer/BioNTech,12/4/2022,19339407
ARG,Sinopharm/Beijing,12/4/2022,28928528
ARG,CanSino,12/5/2022,988608
ARG,Moderna,12/5/2022,14242478
ARG,Oxford/AstraZeneca,12/5/2022,26781034
ARG,Pfizer/BioNTech,12/5/2022,19345547
ARG,Sinopharm/Beijing,12/5/2022,28929012
ARG,Sputnik V,12/5/2022,20757985
ARG,CanSino,12/6/2022,988614
ARG,Moderna,12/6/2022,14361465
ARG,Oxford/AstraZeneca,12/6/2022,26781037
ARG,Pfizer/BioNTech,12/6/2022,19351898
ARG,Sinopharm/Beijing,12/6/2022,28929588
ARG,Sputnik V,12/6/2022,20757986
ARG,CanSino,12/7/2022,988630
ARG,Moderna,12/7/2022,14474654
ARG,Oxford/AstraZeneca,12/7/2022,26781039
ARG,Pfizer/BioNTech,12/7/2022,19359054
ARG,Sinopharm/Beijing,12/7/2022,28930253
ARG,Moderna,12/8/2022,14492557
ARG,Oxford/AstraZeneca,12/8/2022,26781040
ARG,Pfizer/BioNTech,12/8/2022,19359388
ARG,Sinopharm/Beijing,12/8/2022,28930314
ARG,Moderna,12/9/2022,14508628
ARG,Oxford/AstraZeneca,12/9/2022,26781041
ARG,Pfizer/BioNTech,12/9/2022,19359721
ARG,Sinopharm/Beijing,12/9/2022,28930354
