iso,stateName,date,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,total_boosters,total_boosters_per_hundred
USA,Alabama,1/12/2021,377025,70861,0.15,7270,1.45,7.69,,,,0.207,,
USA,Alabama,1/13/2021,378975,74792,0.19,9245,1.53,7.73,5906,5906,1205,0.222,,
USA,Alabama,1/14/2021,435350,80480,,,1.64,8.88,8260,7083,1445,0.212,,
USA,Alabama,1/15/2021,444650,86956,0.28,13488,1.77,9.07,8267,7478,1525,0.226,,
USA,Alabama,1/16/2021,,,,,,,,7498,1529,,,
USA,Alabama,1/17/2021,,,,,,,,7509,1531,,,
USA,Alabama,1/18/2021,,,,,,,,7517,1533,,,
USA,Alabama,1/19/2021,444650,114319,0.33,16346,2.33,9.07,,7523,1534,0.294,,
USA,Alabama,1/20/2021,483275,121113,0.37,17956,2.47,9.86,8405,7880,1607,0.288,,
USA,Alabama,1/21/2021,493125,144429,0.44,21345,2.95,10.06,26719,10517,2145,0.336,,
USA,Alabama,1/22/2021,519525,174317,0.51,24840,3.56,10.6,33395,14107,2877,0.384,,
USA,Alabama,1/23/2021,521225,193955,0.56,27422,3.96,10.63,22226,16202,3304,0.425,,
USA,Alabama,1/24/2021,521225,213833,0.61,29736,4.36,10.63,22197,18294,3731,0.468,,
USA,Alabama,1/25/2021,521225,220464,0.61,29978,4.5,10.63,6875,18196,3711,0.481,,
USA,Alabama,1/26/2021,569000,223854,0.63,30933,4.57,11.6,4347,17738,3618,0.448,,
USA,Alabama,1/27/2021,634000,232633,0.69,33595,4.74,12.93,11485,18178,3707,0.42,,
USA,Alabama,1/28/2021,655275,241337,0.76,37431,4.92,13.36,12549,16153,3294,0.426,,
USA,Alabama,1/29/2021,659400,256601,0.9,44073,5.23,13.45,21922,14514,2960,0.456,,
USA,Alabama,1/30/2021,659400,288368,1.1,53742,5.88,13.45,41521,17271,3522,0.519,,
USA,Alabama,1/31/2021,659400,298301,1.13,55331,6.08,13.45,11538,15748,3212,0.537,,
USA,Alabama,2/1/2021,659400,301628,1.15,56308,6.15,13.45,4306,15381,3137,0.543,,
USA,Alabama,2/2/2021,680550,312711,1.2,58825,6.38,13.88,13602,16703,3407,0.546,,
USA,Alabama,2/3/2021,765150,324998,1.28,62990,6.63,15.61,16457,17414,3552,0.508,,
USA,Alabama,2/4/2021,799675,338845,1.41,69155,6.91,16.31,20089,18491,3771,0.511,,
USA,Alabama,2/5/2021,799875,353522,1.56,76603,7.21,16.31,22169,18526,3778,0.538,,
USA,Alabama,2/6/2021,804100,370275,1.72,84278,7.55,16.4,24576,16105,3285,0.566,,
USA,Alabama,2/7/2021,804100,375567,1.76,86141,7.66,16.4,7159,15480,3157,0.575,,
USA,Alabama,2/8/2021,804100,378514,1.8,88453,7.72,16.4,5304,15622,3186,0.582,,
USA,Alabama,2/9/2021,823600,395196,1.94,95033,8.06,16.8,23333,17012,3470,0.596,,
USA,Alabama,2/10/2021,861175,412462,2.09,102520,8.41,17.56,24833,18209,3714,0.599,,
USA,Alabama,2/11/2021,911875,431259,2.26,111036,8.8,18.6,27435,19258,3928,0.596,,
USA,Alabama,2/12/2021,936200,448071,2.49,122019,9.14,19.09,27878,20074,4094,0.61,,
USA,Alabama,2/13/2021,963600,467032,2.71,133029,9.53,19.65,30044,20855,4253,0.624,,
USA,Alabama,2/14/2021,965550,474065,2.79,137032,9.67,19.69,11095,21417,4368,0.634,,
USA,Alabama,2/15/2021,,,,,,,,22405,4569,,,
USA,Alabama,2/16/2021,1015775,486206,3.04,149288,9.92,20.72,,20816,4245,0.627,,
USA,Alabama,2/17/2021,1032175,494424,3.15,154341,10.08,21.05,13338,19174,3911,0.63,,
USA,Alabama,2/18/2021,1032175,505660,3.37,165104,10.31,21.05,22018,18400,3753,0.651,,
USA,Alabama,2/19/2021,1077600,545431,3.92,192304,11.12,21.98,67094,24002,4895,0.686,,
USA,Alabama,2/20/2021,1078800,560968,4.37,214512,11.44,22,37804,25111,5121,0.72,,
USA,Alabama,2/21/2021,1082100,567505,4.48,219639,11.57,22.07,11677,25194,5138,0.729,,
USA,Alabama,2/22/2021,1082100,583741,4.65,228101,11.91,22.07,5001,24164,4928,0.733,,
USA,Alabama,2/23/2021,1084440,593936,4.88,239425,12.11,22.12,21494,25489,5198,0.752,,
USA,Alabama,2/24/2021,1138650,604602,5.17,253615,12.33,23.22,24595,27098,5527,0.737,,
USA,Alabama,2/25/2021,1170120,615100,5.48,268465,12.54,23.86,25054,27531,5615,0.739,,
USA,Alabama,2/26/2021,1380380,627063,5.83,286095,12.79,28.15,29102,22104,4508,0.648,,
USA,Alabama,2/27/2021,1402180,643208,6.28,307868,13.12,28.6,37231,22022,4491,0.664,,
USA,Alabama,2/28/2021,1402280,649745,6.39,313290,13.25,28.6,11412,21984,4484,0.672,,
USA,Alabama,3/1/2021,1402280,653309,6.45,316073,13.32,28.6,5891,22111,4510,0.676,,
USA,Alabama,3/2/2021,1461320,663187,6.73,330046,13.53,29.8,23768,22436,4576,0.665,,
USA,Alabama,3/3/2021,1469100,674810,7.07,346841,13.76,29.96,27870,22904,4671,0.681,,
USA,Alabama,3/4/2021,1530470,688791,7.45,365456,14.05,31.21,32140,23916,4878,0.674,,
USA,Alabama,3/5/2021,1556460,704173,7.81,383078,14.36,31.74,32407,24388,4974,0.684,,
USA,Alabama,3/6/2021,1628350,721109,8.2,402061,14.71,33.21,35119,24087,4913,0.675,,
USA,Alabama,3/7/2021,1628350,727681,8.3,406723,14.84,33.21,10435,23947,4884,0.682,,
USA,Alabama,3/8/2021,1628350,732967,8.36,409937,14.95,33.21,6544,24040,4903,0.686,,
USA,Alabama,3/9/2021,1689050,747268,8.57,420083,15.24,34.45,24308,24118,4919,0.676,,
USA,Alabama,3/10/2021,1775660,768502,8.87,435018,15.67,36.21,32836,24827,5063,0.661,,
USA,Alabama,3/11/2021,1816230,790864,9.23,452746,16.13,37.04,35982,25376,5175,0.666,,
USA,Alabama,3/12/2021,1838400,816418,9.63,472325,16.65,37.49,39403,26375,5379,0.68,,
USA,Alabama,3/13/2021,1918560,841394,10.05,492755,17.16,39.13,39037,26935,5493,0.671,,
USA,Alabama,3/14/2021,1918560,849337,10.15,497653,17.32,39.13,10370,26926,5492,0.677,,
USA,Alabama,3/15/2021,1918560,854302,10.22,501344,17.42,39.13,7807,27106,5528,0.681,,
USA,Alabama,3/16/2021,2004160,871536,10.44,511869,17.77,40.87,25879,27331,5574,0.665,,
USA,Alabama,3/17/2021,2080870,893767,10.68,523649,18.23,42.44,31689,27167,5541,0.655,,
USA,Alabama,3/18/2021,2118650,912663,10.88,533375,18.61,43.21,26079,25752,5252,0.656,,
USA,Alabama,3/19/2021,2141210,937614,11.16,547257,19.12,43.67,36630,25356,5171,0.666,,
USA,Alabama,3/20/2021,2177880,960539,11.45,561254,19.59,44.42,34086,24649,5027,0.671,,
USA,Alabama,3/21/2021,2177880,968459,11.56,566632,19.75,44.42,11884,24865,5071,0.676,,
USA,Alabama,3/22/2021,2177880,972986,11.61,569127,19.84,44.42,6605,24693,5036,0.679,,
USA,Alabama,3/23/2021,2275030,994253,11.82,579598,20.28,46.4,30174,25307,5161,0.663,,
USA,Alabama,3/24/2021,2403720,1019858,12.03,589979,20.8,49.02,32971,25490,5199,0.642,,
USA,Alabama,3/25/2021,2459980,1048838,12.25,600666,21.39,50.17,36675,27004,5507,0.642,,
USA,Alabama,3/26/2021,2497410,1072623,12.48,611694,21.88,50.93,32313,26387,5382,0.645,,
USA,Alabama,3/27/2021,2535880,1098597,12.71,623385,22.41,51.72,34454,26439,5392,0.649,,
USA,Alabama,3/28/2021,2537050,1108253,12.82,628500,22.6,51.74,13244,26634,5432,0.654,,
USA,Alabama,3/29/2021,2537050,1113924,12.88,631388,22.72,51.74,7483,26759,5457,0.657,,
USA,Alabama,3/30/2021,2722700,1134739,13.12,643450,23.14,55.53,31056,26885,5483,0.624,,
USA,Alabama,3/31/2021,2796630,1155139,13.4,656899,23.56,57.04,31095,26617,5429,0.618,,
USA,Alabama,4/1/2021,2839540,1184284,13.74,673773,24.15,57.91,43243,27555,5620,0.624,,
USA,Alabama,4/2/2021,2872410,1211424,14.09,691082,24.71,58.58,41483,28865,5887,0.631,,
USA,Alabama,4/3/2021,2891780,1234131,14.38,705197,25.17,58.98,33781,28769,5867,0.639,,
USA,Alabama,4/4/2021,2892950,1242706,14.48,709849,25.34,59,11590,28533,5819,0.643,,
USA,Alabama,4/5/2021,2892950,1248029,14.51,711596,25.45,59,6024,28325,5777,0.645,,
USA,Alabama,4/6/2021,3106870,1267859,14.79,725270,25.86,63.36,32063,28468,5806,0.611,,
USA,Alabama,4/7/2021,3149910,1291487,15.19,744961,26.34,64.24,38301,29498,6016,0.614,,
USA,Alabama,4/8/2021,3170520,1317995,15.59,764450,26.88,64.66,41123,29195,5954,0.623,,
USA,Alabama,4/9/2021,3248260,1344658,16.08,788325,27.42,66.25,44990,29696,6056,0.622,,
USA,Alabama,4/10/2021,3278980,1371201,16.55,811323,27.97,66.87,43993,31155,6354,0.63,,
USA,Alabama,4/11/2021,3278980,1382951,16.71,819550,28.21,66.87,17278,31967,6520,0.635,,
USA,Alabama,4/12/2021,3278980,1389598,16.81,824052,28.34,66.87,9884,32519,6632,0.638,,
USA,Alabama,4/13/2021,3358930,1407463,17.22,844353,28.71,68.51,34828,32914,6713,0.633,,
USA,Alabama,4/14/2021,3493380,1426530,17.71,868550,29.09,71.25,41574,33381,6808,0.621,,
USA,Alabama,4/15/2021,3516420,1442051,18.21,893002,29.41,71.72,38501,33007,6732,0.628,,
USA,Alabama,4/16/2021,3531670,1459377,18.67,915654,29.76,72.03,38182,32034,6533,0.636,,
USA,Alabama,4/17/2021,3664640,1476162,19.08,935377,30.11,74.74,35112,30766,6275,0.622,,
USA,Alabama,4/18/2021,3664740,1481314,19.24,943129,30.21,74.74,11590,29953,6109,0.625,,
USA,Alabama,4/19/2021,3664740,1483779,19.3,946333,30.26,74.74,5287,29296,5975,0.627,,
USA,Alabama,4/20/2021,3761730,1494421,19.71,966251,30.48,76.72,30201,28635,5840,0.619,,
USA,Alabama,4/21/2021,3796070,1507116,20.14,987379,30.74,77.42,32763,27377,5584,0.622,,
USA,Alabama,4/22/2021,3825010,1518928,20.61,1010415,30.98,78.01,33777,26702,5446,0.626,,
USA,Alabama,4/23/2021,3898820,1531741,21.09,1033996,31.24,79.52,35325,26294,5363,0.623,,
USA,Alabama,4/24/2021,3960530,1543544,21.51,1054863,31.48,80.77,31881,25832,5268,0.622,,
USA,Alabama,4/25/2021,3960530,1546659,21.67,1062524,31.54,80.77,9899,25590,5219,0.624,,
USA,Alabama,4/26/2021,3960530,1549782,21.75,1066659,31.61,80.77,6818,25809,5264,0.626,,
USA,Alabama,4/27/2021,4009430,1558652,22.02,1079815,31.79,81.77,21467,24561,5009,0.623,,
USA,Alabama,4/28/2021,4033570,1568315,22.41,1098820,31.99,82.26,28121,23898,4874,0.627,,
USA,Alabama,4/29/2021,4042070,1579093,22.87,1121348,32.21,82.44,32123,23662,4826,0.633,,
USA,Alabama,4/30/2021,4088030,1589518,23.32,1143488,32.42,83.37,31225,23076,4706,0.634,,
USA,Alabama,5/1/2021,4130550,1599130,23.69,1161725,32.61,84.24,26242,22271,4542,0.634,,
USA,Alabama,5/2/2021,4130550,1601433,23.77,1165479,32.66,84.24,5312,21615,4408,0.635,,
USA,Alabama,5/3/2021,4130550,1603454,23.83,1168235,32.7,84.24,4605,21299,4344,0.636,,
USA,Alabama,5/4/2021,4145390,1609919,24.06,1179793,32.83,84.54,17352,20711,4224,0.638,,
USA,Alabama,5/5/2021,4187860,1618791,24.45,1199064,33.02,85.41,26252,20444,4170,0.638,,
USA,Alabama,5/6/2021,4225140,1619783,24.5,1201303,33.04,86.17,2255,16178,3299,0.633,,
USA,Alabama,5/7/2021,4241420,1636710,25.3,1240335,33.38,86.5,53175,19313,3939,0.643,,
USA,Alabama,5/8/2021,4277330,1649688,25.78,1263965,33.65,87.24,31665,20088,4097,0.645,,
USA,Alabama,5/9/2021,4277330,1654267,25.92,1270858,33.74,87.24,10183,20784,4239,0.647,,
USA,Alabama,5/10/2021,4277330,1657672,25.98,1273670,33.81,87.24,5411,20899,4262,0.648,,
USA,Alabama,5/11/2021,4295160,1658191,25.98,1273999,33.82,87.6,287,18461,3765,0.646,,
USA,Alabama,5/12/2021,4311320,1664353,26.24,1286565,33.94,87.93,17729,17244,3517,0.648,,
USA,Alabama,5/13/2021,4322400,1678119,26.81,1314534,34.23,88.15,40222,22667,4623,0.655,,
USA,Alabama,5/14/2021,4348790,1687875,27.21,1334176,34.42,88.69,27738,19034,3882,0.658,,
USA,Alabama,5/15/2021,4373130,1697289,27.49,1348023,34.62,89.19,21723,17613,3592,0.659,,
USA,Alabama,5/16/2021,4373130,1699751,27.55,1350643,34.67,89.19,4792,16843,3435,0.66,,
USA,Alabama,5/17/2021,4373130,1699915,27.55,1350830,34.67,89.19,47,16077,3279,0.66,,
USA,Alabama,5/18/2021,4389040,1709333,27.79,1362380,34.86,89.51,19400,18807,3836,0.662,,
USA,Alabama,5/19/2021,4393980,1709761,27.79,1362834,34.87,89.61,549,16353,3335,0.661,,
USA,Alabama,5/20/2021,4415280,1725694,28.19,1382327,35.2,90.05,33059,15330,3127,0.666,,
USA,Alabama,5/21/2021,4449370,1727437,28.29,1387356,35.23,90.74,6327,12271,2503,0.662,,
USA,Alabama,5/22/2021,4476640,1736645,28.49,1396990,35.42,91.3,17173,11621,2370,0.662,,
USA,Alabama,5/23/2021,4476640,1746820,28.71,1407769,35.63,91.3,19270,13689,2792,0.666,,
USA,Alabama,5/24/2021,4476640,1747012,28.71,1407917,35.63,91.3,150,13704,2795,0.666,,
USA,Alabama,5/25/2021,4484660,1754294,28.87,1415771,35.78,91.46,14265,12970,2645,0.668,,
USA,Alabama,5/26/2021,4501400,1757607,28.95,1419599,35.85,91.81,6261,13786,2812,0.667,,
USA,Alabama,5/27/2021,4520480,1758850,29.03,1423605,35.87,92.19,4780,9747,1988,0.665,,
USA,Alabama,5/28/2021,4523700,1763553,29.15,1429238,35.97,92.26,9416,10188,2078,0.667,,
USA,Alabama,5/29/2021,4578590,1765515,29.2,1431669,36.01,93.38,3737,8268,1686,0.66,,
USA,Alabama,5/30/2021,4578590,1766055,29.21,1432446,36.02,93.38,914,5646,1151,0.66,,
USA,Alabama,5/31/2021,,,,,,,,5683,1159,,,
USA,Alabama,6/1/2021,4578590,1766784,29.23,1433267,36.03,93.38,,3704,755,0.66,,
USA,Alabama,6/2/2021,4583270,1768055,29.27,1435324,36.06,93.48,3007,3239,661,0.66,,
USA,Alabama,6/3/2021,4597950,1768288,29.28,1435719,36.06,93.77,412,2615,533,0.658,,
USA,Alabama,6/4/2021,4606930,1771964,29.37,1440101,36.14,93.96,7070,2280,465,0.658,,
USA,Alabama,6/5/2021,4637330,1772245,29.37,1440289,36.14,94.58,166,1770,361,0.654,,
USA,Alabama,6/6/2021,4637330,1773379,29.41,1441834,36.17,94.58,2127,1943,396,0.654,,
USA,Alabama,6/7/2021,4637330,1774139,29.43,1442775,36.18,94.58,1361,2079,424,0.655,,
USA,Alabama,6/8/2021,4646130,1774535,29.43,1443230,36.19,94.76,414,2080,424,0.654,,
USA,Alabama,6/9/2021,4646550,1776278,29.48,1445608,36.23,94.77,3652,2172,443,0.654,,
USA,Alabama,6/10/2021,4648150,1787017,29.78,1460230,36.45,94.8,23765,5508,1123,0.659,,
USA,Alabama,6/11/2021,4658570,1793119,29.96,1468898,36.57,95.01,14195,6526,1331,0.661,,
USA,Alabama,6/12/2021,4678220,1805486,30.29,1485108,36.82,95.41,26714,10318,2104,0.664,,
USA,Alabama,6/13/2021,4678220,1810074,30.41,1490848,36.92,95.41,9490,11370,2319,0.666,,
USA,Alabama,6/14/2021,4678220,1815885,30.59,1499941,37.03,95.41,13463,13099,2672,0.669,,
USA,Alabama,6/15/2021,4686280,1816769,30.62,1501171,37.05,95.58,1545,13261,2705,0.668,,
USA,Alabama,6/16/2021,4692070,1822146,30.77,1508504,37.16,95.69,12145,14474,2952,0.67,,
USA,Alabama,6/17/2021,4726010,1898131,31.53,1546119,38.71,96.39,111481,27005,5508,0.688,,
USA,Alabama,6/18/2021,4734100,1898704,31.55,1546983,38.72,96.55,1047,25126,5124,0.687,,
USA,Alabama,6/19/2021,4758560,1909005,31.79,1558881,38.93,97.05,20943,24302,4956,0.688,,
USA,Alabama,6/20/2021,4758560,1913032,31.86,1562192,39.02,97.05,6920,23935,4882,0.69,,
USA,Alabama,6/21/2021,4758560,1915122,31.89,1563573,39.06,97.05,3255,22477,4584,0.69,,
USA,Alabama,6/22/2021,4759120,1918334,31.96,1566908,39.12,97.06,5903,23099,4711,0.692,,
USA,Alabama,6/23/2021,4767580,1922707,32.03,1570452,39.21,97.23,7544,22442,4577,0.692,,
USA,Alabama,6/24/2021,4769800,1928656,32.12,1574676,39.33,97.28,9818,7919,1615,0.694,,
USA,Alabama,6/25/2021,4783230,1928903,32.12,1574934,39.34,97.55,248,7804,1592,0.692,,
USA,Alabama,6/26/2021,4801760,1933773,32.2,1578780,39.44,97.93,8195,5983,1220,0.691,,
USA,Alabama,6/27/2021,4801760,1941681,32.31,1584456,39.6,97.93,12972,6848,1397,0.694,,
USA,Alabama,6/28/2021,4801760,1948135,32.43,1590001,39.73,97.93,11489,8024,1636,0.696,,
USA,Alabama,6/29/2021,4810050,1953410,32.51,1594040,39.84,98.1,8287,8365,1706,0.696,,
USA,Alabama,6/30/2021,4813050,1954166,32.52,1594625,39.86,98.16,703,7387,1507,0.696,,
USA,Alabama,7/1/2021,4825450,1962745,32.67,1601802,40.03,98.41,14789,8098,1652,0.697,,
USA,Alabama,7/2/2021,4836250,1962952,32.67,1602022,40.03,98.63,227,8095,1651,0.696,,
USA,Alabama,7/3/2021,4845190,1969834,32.89,1612803,40.17,98.82,16373,9263,1889,0.698,,
USA,Alabama,7/4/2021,4845190,1969971,32.9,1612913,40.18,98.82,46,7416,1512,0.698,,
USA,Alabama,7/5/2021,,,,,,,,6512,1328,,,
USA,Alabama,7/6/2021,4845190,1976343,32.99,1617584,40.31,98.82,,6066,1237,0.7,,
USA,Alabama,7/7/2021,4845190,1978951,33.03,1619647,40.36,98.82,3972,6533,1332,0.701,,
USA,Alabama,7/8/2021,4866130,1982250,33.1,1623114,40.43,99.24,6149,5299,1081,0.699,,
USA,Alabama,7/9/2021,4872940,1985582,33.17,1626323,40.5,99.38,6104,6138,1252,0.699,,
USA,Alabama,7/10/2021,4884130,1988956,33.24,1629745,40.56,99.61,6325,4703,959,0.699,,
USA,Alabama,7/11/2021,4884130,1992957,33.31,1633408,40.65,99.61,7100,5711,1165,0.701,,
USA,Alabama,7/12/2021,4884130,1993099,33.32,1633505,40.65,99.61,4,4974,1014,0.701,,
USA,Alabama,7/13/2021,4885650,2000752,33.42,1638866,40.81,99.64,12340,5999,1223,0.703,,
USA,Alabama,7/14/2021,4893240,2000914,33.43,1639032,40.81,99.8,139,5452,1112,0.702,,
USA,Alabama,7/15/2021,4895780,2009200,33.55,1645083,40.98,99.85,13654,6524,1331,0.704,,
USA,Alabama,7/16/2021,4904730,2013559,33.61,1647995,41.07,100.03,6933,6642,1355,0.704,,
USA,Alabama,7/17/2021,4912720,2013853,33.61,1648172,41.07,100.19,192,5766,1176,0.703,,
USA,Alabama,7/18/2021,4912720,2018807,33.68,1651404,41.17,100.19,7690,5850,1193,0.705,,
USA,Alabama,7/19/2021,4919470,2022782,33.73,1653604,41.25,100.33,5657,6658,1358,0.705,,
USA,Alabama,7/20/2021,4928670,2024953,33.75,1654644,41.3,100.52,2736,5286,1078,0.704,,
USA,Alabama,7/21/2021,4935470,2034814,33.85,1659775,41.5,100.66,14298,7309,1491,0.706,,
USA,Alabama,7/22/2021,4945380,2041288,33.91,1662812,41.63,100.86,8973,6640,1354,0.707,,
USA,Alabama,7/23/2021,4979270,2041597,33.92,1663031,41.64,101.55,260,5687,1160,0.702,,
USA,Alabama,7/24/2021,5001210,2048890,33.97,1665751,41.79,102,9412,7004,1428,0.701,,
USA,Alabama,7/25/2021,5001210,2058672,34.04,1668818,41.99,102,12254,7656,1561,0.703,,
USA,Alabama,7/26/2021,5001210,2067533,34.08,1671098,42.17,102,10890,8403,1714,0.705,,
USA,Alabama,7/27/2021,5015500,2073358,34.11,1672423,42.29,102.29,6908,8999,1835,0.705,,
USA,Alabama,7/28/2021,5031270,2092767,34.2,1677048,42.68,102.61,23296,10285,2098,0.707,,
USA,Alabama,7/29/2021,5050560,2093242,34.21,1677279,42.69,103.01,314,9048,1845,0.704,,
USA,Alabama,7/30/2021,5092510,2116551,34.33,1683367,43.17,103.86,28844,13131,2678,0.704,,
USA,Alabama,7/31/2021,5159890,2117044,34.34,1683584,43.18,105.24,365,11839,2415,0.695,,
USA,Alabama,8/1/2021,5159890,2130105,34.41,1687404,43.44,105.24,16765,12483,2546,0.698,,
USA,Alabama,8/2/2021,5159890,2130309,34.42,1687444,43.45,105.24,11,10929,2229,0.698,,
USA,Alabama,8/3/2021,5167970,2154479,34.54,1693504,43.94,105.4,30793,14341,2925,0.703,,
USA,Alabama,8/4/2021,5201860,2164048,34.59,1696031,44.14,106.09,11490,12655,2581,0.701,,
USA,Alabama,8/5/2021,5220840,2168426,34.61,1697144,44.22,106.48,4837,13301,2713,0.699,,
USA,Alabama,8/6/2021,5262690,2192650,34.74,1703519,44.72,107.33,29942,13458,2745,0.699,,
USA,Alabama,8/7/2021,5330000,2207345,34.83,1707895,45.02,108.7,18454,16042,3272,0.694,,
USA,Alabama,8/8/2021,5330000,2207724,34.84,1708026,45.03,108.7,116,13663,2787,0.694,,
USA,Alabama,8/9/2021,5330000,2217468,34.9,1711014,45.23,108.7,12950,15512,3164,0.697,,
USA,Alabama,8/10/2021,5358370,2231388,34.99,1715676,45.51,109.28,18449,13748,2804,0.696,,
USA,Alabama,8/11/2021,5389260,2233401,35.01,1716368,45.55,109.91,2108,12408,2531,0.693,,
USA,Alabama,8/12/2021,5418340,2245275,35.09,1720455,45.79,110.51,15590,13944,2844,0.692,,
USA,Alabama,8/13/2021,5539910,2256357,35.18,1725039,46.02,112.99,15430,11871,2421,0.679,,
USA,Alabama,8/14/2021,5554810,2260327,35.22,1726776,46.1,113.29,5324,9995,2038,0.679,,
USA,Alabama,8/15/2021,5554810,2275050,35.38,1734722,46.4,113.29,22914,13252,2703,0.683,,
USA,Alabama,8/16/2021,5554810,2289141,35.56,1743610,46.69,113.29,23596,14773,3013,0.687,,
USA,Alabama,8/17/2021,5581220,2295863,35.66,1748529,46.82,113.83,12222,13883,2831,0.686,,
USA,Alabama,8/18/2021,5631430,2302598,35.74,1752243,46.96,114.85,10695,15110,3082,0.682,,
USA,Alabama,8/19/2021,5688310,2312990,35.88,1759489,47.17,116.01,19044,15604,3182,0.678,,
USA,Alabama,8/20/2021,5789070,2330695,36.11,1770725,47.53,118.07,30696,17784,3627,0.672,,
USA,Alabama,8/21/2021,5863360,2340782,36.25,1777585,47.74,119.58,17915,19583,3994,0.666,,
USA,Alabama,8/22/2021,5863220,2345934,36.34,1781590,47.85,119.58,9630,17685,3607,0.668,,
USA,Alabama,8/23/2021,5863220,2358550,36.58,1793712,48.1,119.58,27319,18217,3715,0.673,,
USA,Alabama,8/24/2021,5863220,2368289,36.76,1802279,48.3,119.58,19887,19312,3939,0.676,,
USA,Alabama,8/25/2021,5889060,2370282,36.79,1803904,48.34,120.11,3360,18264,3725,0.674,,
USA,Alabama,8/26/2021,5962240,2380869,36.98,1813256,48.56,121.6,21817,18661,3806,0.669,,
USA,Alabama,8/27/2021,6045390,2399704,37.49,1838347,48.94,123.3,56159,22298,4548,0.669,,
USA,Alabama,8/28/2021,6085890,2415007,37.73,1850031,49.25,124.12,28182,23765,4847,0.669,,
USA,Alabama,8/29/2021,6102830,2426453,37.94,1860445,49.49,124.47,24575,25900,5282,0.671,,
USA,Alabama,8/30/2021,6102130,2432879,38.1,1868344,49.62,124.45,15497,24211,4938,0.674,,
USA,Alabama,8/31/2021,6127400,2442247,38.35,1880276,49.81,124.97,23305,24699,5037,0.675,,
USA,Alabama,9/1/2021,6151970,2444342,38.38,1882050,49.85,125.47,3090,24661,5030,0.673,,
USA,Alabama,9/2/2021,6218000,2452547,38.57,1891063,50.02,126.82,19105,24273,4950,0.669,,
USA,Alabama,9/3/2021,6259550,2461343,38.77,1900876,50.2,127.66,19977,19104,3896,0.668,,
USA,Alabama,9/4/2021,6294440,2474109,39.07,1915710,50.46,128.37,31191,19534,3984,0.669,,
USA,Alabama,9/5/2021,,,,,,,,17362,3541,,,
USA,Alabama,9/6/2021,,,,,,,,16486,3362,,,
USA,Alabama,9/7/2021,6294340,2485579,39.36,1930090,50.69,128.37,,14495,2956,0.673,,
USA,Alabama,9/8/2021,6299020,2491633,39.53,1938065,50.82,128.47,14925,16185,3301,0.675,,
USA,Alabama,9/9/2021,6337120,2493041,39.57,1940044,50.85,129.24,3212,13915,2838,0.672,,
USA,Alabama,9/10/2021,6388850,2504656,39.91,1956859,51.08,130.3,31922,15621,3186,0.671,,
USA,Alabama,9/11/2021,6427570,2506484,39.96,1959493,51.12,131.09,4475,11805,2408,0.668,,
USA,Alabama,9/12/2021,6427570,2514065,40.2,1971041,51.27,131.09,21245,13502,2754,0.671,,
USA,Alabama,9/13/2021,,,,,,,,13309,2714,,,
USA,Alabama,9/14/2021,6447940,2516176,40.4,1980807,51.32,131.51,,13117,2675,0.671,,
USA,Alabama,9/15/2021,6485880,2520979,40.55,1988025,51.42,132.28,12692,12798,2610,0.669,,
USA,Alabama,9/16/2021,6503890,2526998,40.74,1997364,51.54,132.65,16802,14739,3006,0.67,,
USA,Alabama,9/17/2021,6525240,2535635,41.01,2010919,51.71,133.08,24408,13666,2787,0.672,,
USA,Alabama,9/18/2021,6545280,2537329,41.06,2013023,51.75,133.49,3463,13521,2758,0.67,,
USA,Alabama,9/19/2021,6545280,2543475,41.27,2023759,51.87,133.49,18366,13110,2674,0.673,,
USA,Alabama,9/20/2021,6545280,2547021,41.4,2030149,51.95,133.49,10518,13467,2747,0.675,,
USA,Alabama,9/21/2021,6547850,2552143,41.58,2038644,52.05,133.54,14934,14455,2948,0.677,,
USA,Alabama,9/22/2021,6561280,2555237,41.69,2043972,52.11,133.82,9221,13959,2847,0.677,,
USA,Alabama,9/23/2021,6589940,2556115,41.71,2045238,52.13,134.4,2029,11848,2416,0.674,,
USA,Alabama,9/24/2021,6601120,2558569,41.8,2049383,52.18,134.63,7321,9407,1919,0.674,,
USA,Alabama,9/25/2021,6639550,2565735,42.03,2060935,52.33,135.41,22055,12063,2460,0.673,,
USA,Alabama,9/26/2021,6639550,2570413,42.2,2069026,52.42,135.41,14170,11464,2338,0.676,,
USA,Alabama,9/27/2021,6639550,2572916,42.29,2073717,52.47,135.41,8721,11207,2286,0.677,,
USA,Alabama,9/28/2021,6646890,2577657,42.45,2081567,52.57,135.56,16858,11482,2342,0.679,,
USA,Alabama,9/29/2021,6670090,2578863,42.49,2083182,52.6,136.04,3153,10615,2165,0.677,,
USA,Alabama,9/30/2021,6665330,2583590,42.62,2089852,52.69,135.94,18369,12950,2641,0.68,,
USA,Alabama,10/1/2021,6709370,2584258,42.64,2090806,52.71,136.84,2164,12213,2491,0.676,,
USA,Alabama,10/2/2021,6738280,2586950,42.73,2094920,52.76,137.43,9583,10431,2127,0.674,2985.0,0.06
USA,Alabama,10/3/2021,6736650,2592096,42.89,2103203,52.87,137.39,20875,11389,2323,0.678,10683.0,0.22
