time,gender,earnings_biannual,state
Nov-2023,M,1519.00,SA
May-2012,F,759.50,SA
Nov-2012,F,754.00,SA
May-2013,F,768.70,SA
Nov-2013,F,819.80,SA
May-2014,F,853.20,SA
Nov-2014,F,858.30,SA
May-2015,F,848.10,SA
Nov-2015,F,825.70,SA
May-2016,F,831.10,SA
Nov-2016,F,857.60,SA
May-2017,F,874.30,SA
Nov-2017,F,884.30,SA
May-2018,F,890.30,SA
Nov-2018,F,904.10,SA
May-2019,F,906.60,SA
Nov-2019,F,925.70,SA
May-2020,F,966.10,SA
Nov-2020,F,976.50,SA
May-2021,F,1000.80,SA
Nov-2021,F,1012.90,SA
May-2022,F,1039.50,SA
Nov-2022,F,1052.70,SA
May-2023,F,1058.80,SA
Nov-2023,F,1076.30,SA
May-2012,M,1561.40,WA
Nov-2012,M,1615.60,WA
May-2013,M,1651.80,WA
Nov-2013,M,1628.70,WA
May-2014,M,1641.30,WA
Nov-2014,M,1680.80,WA
May-2015,M,1677.40,WA
Nov-2015,M,1640.60,WA
May-2016,M,1634.40,WA
Nov-2016,M,1636.80,WA
May-2017,M,1640.50,WA
Nov-2017,M,1650.30,WA
May-2018,M,1645.60,WA
Nov-2018,M,1639.50,WA
May-2019,M,1650.50,WA
Nov-2019,M,1689.40,WA
May-2020,M,1723.50,WA
Nov-2020,M,1732.70,WA
May-2021,M,1780.80,WA
Nov-2021,M,1802.80,WA
May-2022,M,1831.40,WA
Nov-2022,M,1889.60,WA
May-2023,M,1903.90,WA
Nov-2023,M,1917.80,WA
May-2012,F,832.30,WA
Nov-2012,F,851.60,WA
May-2013,F,887.40,WA
Nov-2013,F,916.10,WA
May-2014,F,934.70,WA
Nov-2014,F,951.30,WA
May-2015,F,957.60,WA
Nov-2015,F,958.80,WA
May-2016,F,953.30,WA
Nov-2016,F,975.90,WA
May-2017,F,979.70,WA
Nov-2017,F,974.50,WA
May-2018,F,968.60,WA
Nov-2018,F,964.70,WA
May-2019,F,966.10,WA
Nov-2019,F,986.40,WA
May-2020,F,999.10,WA
Nov-2020,F,1009.80,WA
May-2021,F,1046.30,WA
Nov-2021,F,1072.90,WA
May-2022,F,1130.10,WA
Nov-2022,F,1161.50,WA
May-2023,F,1185.20,WA
Nov-2023,F,1202.30,WA
May-2012,M,1070.10,TAS
Nov-2012,M,1090.70,TAS
May-2013,M,1109.80,TAS
Nov-2013,M,1116.50,TAS
May-2014,M,1118.70,TAS
Nov-2014,M,1147.80,TAS
May-2015,M,1162.40,TAS
Nov-2015,M,1164.10,TAS
May-2016,M,1162.00,TAS
Nov-2016,M,1169.80,TAS
May-2017,M,1209.80,TAS
Nov-2017,M,1240.70,TAS
May-2018,M,1255.30,TAS
Nov-2018,M,1261.90,TAS
May-2019,M,1269.10,TAS
Nov-2019,M,1280.40,TAS
May-2020,M,1279.90,TAS
Nov-2020,M,1273.40,TAS
May-2021,M,1297.20,TAS
Nov-2021,M,1312.00,TAS
May-2022,M,1346.90,TAS
