Country,Source Name (URL),Biggest total Administered Vaccines
Moldova,World Health Organization,2592269
Montserrat,World Health Organization,4619
Morocco,World Health Organization,55426513
Mozambique,World Health Organization,46522953
Myanmar,World Health Organization,89454913
Namibia,World Health Organization,1478689
Nepal,World Health Organization,62086946
Nicaragua,World Health Organization,15414213
Niger,World Health Organization,11731484
Nigeria,World Health Organization,188289127
Niue,World Health Organization,4498
North Macedonia,World Health Organization,1854384
Oman,World Health Organization,7086050
Pakistan,World Health Organization,358277056
Palestine,World Health Organization,4126707
Panama,World Health Organization,8741415
Paraguay,World Health Organization,9745545
Philippines,World Health Organization,184939994
Qatar,World Health Organization,7609178
Romania,World Health Organization,10813497
Rwanda,World Health Organization,26349870
Saint Kitts and Nevis,World Health Organization,64225
Saint Lucia,World Health Organization,122552
Saint Vincent and the Grenadines,World Health Organization,73443
San Marino,World Health Organization,69338
Sao Tome and Principe,World Health Organization,286866
Saudi Arabia,World Health Organization,60953969
Senegal,World Health Organization,5003993
Seychelles,World Health Organization,217021
Sierra Leone,World Health Organization,11839718
Sint Maarten (Dutch part),World Health Organization,65707
Somalia,World Health Organization,16667136
South Africa,World Health Organization,49660351
South Sudan,World Health Organization,8973660
Sri Lanka,World Health Organization,40116590
Sudan,World Health Organization,32515209
Syria,World Health Organization,5729876
Tajikistan,World Health Organization,15800313
Tanzania,World Health Organization,66600724
Timor,World Health Organization,2019384
Togo,World Health Organization,4233510
Tunisia,World Health Organization,14879289
Turkmenistan,World Health Organization,13000170
Turks and Caicos Islands,World Health Organization,70968
Tuvalu,World Health Organization,25013
Uganda,World Health Organization,33858979
Ukraine,World Health Organization,31669074
United Arab Emirates,World Health Organization,24922054
Uzbekistan,World Health Organization,56644393
Venezuela,World Health Organization,37096104
Vietnam,World Health Organization,234209637
Yemen,World Health Organization,1906612
Zambia,World Health Organization,11711565
