Country Name (CN),Total Vaccinations (administered to date),Daily Vaccinations,Date
Africa,9662897,240212,3/24/2021
Africa,9963609,265363,3/25/2021
Africa,10243010,283399,3/26/2021
Africa,10569450,296831,3/27/2021
Africa,10828299,308129,3/28/2021
Africa,11049274,321220,3/29/2021
Africa,11258101,338221,3/30/2021
Africa,11740126,325014,3/31/2021
Africa,11998927,317673,4/1/2021
Africa,12152691,301462,4/2/2021
Africa,12287930,293039,4/3/2021
Africa,12358328,287474,4/4/2021
Africa,12513077,279834,4/5/2021
Africa,12855344,270236,4/6/2021
Africa,13239167,262716,4/7/2021
Africa,13971563,261256,4/8/2021
Africa,14133332,292457,4/9/2021
Africa,14294014,294100,4/10/2021
Africa,14443400,291807,4/11/2021
Africa,14556217,292945,4/12/2021
Africa,14672270,284888,4/13/2021
Africa,15020120,280168,4/14/2021
Africa,15155704,265885,4/15/2021
Africa,15364125,267243,4/16/2021
Africa,15662618,267653,4/17/2021
Africa,16232840,270563,4/18/2021
Africa,16446194,266512,4/19/2021
Africa,16612501,264002,4/20/2021
Africa,16836983,259851,4/21/2021
Africa,16922542,254219,4/22/2021
Africa,17108695,243782,4/23/2021
Africa,17182183,233119,4/24/2021
Africa,17261247,231325,4/25/2021
Africa,17360331,230025,4/26/2021
Africa,17529567,240915,4/27/2021
Africa,18594720,263135,4/28/2021
Africa,18720069,268593,4/29/2021
Africa,18871289,267984,4/30/2021
Africa,18999232,266432,5/1/2021
Africa,19055923,266478,5/2/2021
Africa,19241498,271166,5/3/2021
Africa,19561707,284796,5/4/2021
Africa,19832948,276189,5/5/2021
Africa,19992519,284153,5/6/2021
Africa,20600628,345109,5/7/2021
Africa,20852773,360157,5/8/2021
Africa,21582244,379652,5/9/2021
Africa,22056398,393436,5/10/2021
Africa,22507781,401362,5/11/2021
Africa,23604403,406939,5/12/2021
Africa,23804271,404600,5/13/2021
Africa,24019530,350222,5/14/2021
Africa,24337750,370322,5/15/2021
Africa,24431159,378950,5/16/2021
Africa,24898124,391159,5/17/2021
Africa,25674058,416792,5/18/2021
Africa,26265707,463617,5/19/2021
Africa,26704991,518121,5/20/2021
Africa,27483211,572262,5/21/2021
Africa,28308289,574398,5/22/2021
Africa,28533367,577751,5/23/2021
Africa,29053569,584507,5/24/2021
Africa,29752614,613143,5/25/2021
Africa,30115473,597591,5/26/2021
Africa,30326252,594508,5/27/2021
Africa,30507581,587591,5/28/2021
Africa,31088375,595143,5/29/2021
Africa,31359746,604747,5/30/2021
Africa,33358486,614697,5/31/2021
Africa,34152144,580875,6/1/2021
Africa,34624515,581057,6/2/2021
Africa,35087411,590077,6/3/2021
Africa,35335184,566606,6/4/2021
Africa,35526997,543351,6/5/2021
Africa,35768603,539062,6/6/2021
Africa,36351683,537521,6/7/2021
Africa,37446289,567452,6/8/2021
Africa,38477704,580077,6/9/2021
Africa,39079564,571357,6/10/2021
Africa,39452610,594018,6/11/2021
Africa,39755251,593389,6/12/2021
Africa,39825600,596588,6/13/2021
Africa,40686985,598047,6/14/2021
Africa,41665290,566265,6/15/2021
Africa,41984781,531760,6/16/2021
Africa,42368262,527557,6/17/2021
Africa,42709734,521648,6/18/2021
Africa,42831406,523113,6/19/2021
Africa,43495428,538700,6/20/2021
Africa,44217795,547553,6/21/2021
Africa,44333117,539790,6/22/2021
Africa,44931889,547936,6/23/2021
Africa,46268583,541432,6/24/2021
Africa,46633964,545146,6/25/2021
Africa,46817755,544953,6/26/2021
Africa,47101481,527440,6/27/2021
Africa,47958318,496989,6/28/2021
Africa,48220285,498247,6/29/2021
Africa,48742286,509971,6/30/2021
Africa,49033079,508052,7/1/2021
Africa,49189174,487302,7/2/2021
Africa,49432211,488470,7/3/2021
Africa,49777908,478722,7/4/2021
Africa,50798363,491491,7/5/2021
Africa,51223871,477476,7/6/2021
Africa,51504403,469628,7/7/2021
Africa,52515713,467376,7/8/2021
Africa,52832807,484970,7/9/2021
Africa,52939219,483451,7/10/2021
Africa,53037492,483086,7/11/2021
Africa,54614122,515686,7/12/2021
Africa,55209086,552839,7/13/2021
Africa,55510571,584417,7/14/2021
Africa,56771090,660068,7/15/2021
Africa,56885077,625139,7/16/2021
Africa,57067536,617820,7/17/2021
Africa,57332426,596825,7/18/2021
Africa,58667504,600288,7/19/2021
Africa,59046131,577708,7/20/2021
Africa,59127670,563646,7/21/2021
Africa,60330841,513218,7/22/2021
Africa,60759058,545552,7/23/2021
Africa,61008425,542909,7/24/2021
Africa,61723633,551667,7/25/2021
Africa,62347895,574570,7/26/2021
Africa,63615674,647781,7/27/2021
Africa,64342167,715252,7/28/2021
Africa,65630639,777189,7/29/2021
Africa,66064449,794759,7/30/2021
Africa,66231599,824466,7/31/2021
Africa,66558888,838949,8/1/2021
Africa,67556671,814002,8/2/2021
Africa,69846576,916450,8/3/2021
Africa,70158070,872695,8/4/2021
Africa,71194806,825559,8/5/2021
Africa,71589323,856456,8/6/2021
Africa,72374345,878436,8/7/2021
Africa,73339120,904178,8/8/2021
Africa,75188781,965773,8/9/2021
Africa,75892085,806996,8/10/2021
Africa,76453784,854668,8/11/2021
Africa,78118410,922843,8/12/2021
Africa,79122013,923126,8/13/2021
Africa,79422907,918422,8/14/2021
Africa,79820401,952008,8/15/2021
Africa,82609043,997289,8/16/2021
Africa,83417684,1125883,8/17/2021
Africa,84970101,1177170,8/18/2021
Africa,86740804,1217317,8/19/2021
Africa,92350478,1257336,8/20/2021
Africa,92616781,1335827,8/21/2021
Africa,93083690,1346043,8/22/2021
Africa,94403905,1386487,8/23/2021
Africa,95540668,1424049,8/24/2021
Africa,98769882,1447987,8/25/2021
Africa,99002199,1476806,8/26/2021
Africa,102286029,1567715,8/27/2021
Africa,102934190,1550725,8/28/2021
Africa,104654996,1677898,8/29/2021
Africa,105328118,1632042,8/30/2021
Africa,106788814,1578006,8/31/2021
Africa,109212384,1558105,9/1/2021
Africa,109620093,1514336,9/2/2021
Africa,110222501,1438783,9/3/2021
Africa,114656943,1515611,9/4/2021
Africa,117056181,1416575,9/5/2021
Africa,118596005,1502175,9/6/2021
Africa,119255044,1445017,9/7/2021
Africa,119830906,1377452,9/8/2021
Africa,121312709,1383488,9/9/2021
Africa,122815822,1498170,9/10/2021
Africa,123953397,1561316,9/11/2021
Africa,125626928,1600530,9/12/2021
Africa,126203992,1503922,9/13/2021
Africa,129067120,1542168,9/14/2021
Africa,131255528,1551227,9/15/2021
Africa,132832317,1654052,9/16/2021
Africa,133154625,1546846,9/17/2021
Africa,133669180,1441724,9/18/2021
Africa,136357825,1435239,9/19/2021
Africa,137604826,1462135,9/20/2021
Africa,138336738,1482049,9/21/2021
Africa,141265747,1532560,9/22/2021
Africa,143441075,1449769,9/23/2021
Africa,143833037,1443079,9/24/2021
Africa,146290298,1434685,9/25/2021
Africa,147160637,1446666,9/26/2021
Africa,150553320,1454450,9/27/2021
Africa,151632732,1430923,9/28/2021
Africa,152019978,1392731,9/29/2021
Africa,153964573,1335189,9/30/2021
Africa,154355470,1347603,10/1/2021
Africa,155445091,1359443,10/2/2021
Africa,156058112,1326229,10/3/2021
Africa,156156170,1295432,10/4/2021
Africa,156848699,1301561,10/5/2021
Africa,158425560,1339312,10/6/2021
Africa,160388564,1350119,10/7/2021
Africa,165032376,1333416,10/8/2021
Africa,166467933,1308157,10/9/2021
Africa,166822225,1305849,10/10/2021
Africa,167455870,1313230,10/11/2021
Africa,167953825,1347968,10/12/2021
Africa,169881187,1377279,10/13/2021
Africa,171829164,1393616,10/14/2021
Africa,173262062,1459311,10/15/2021
Africa,173355675,1509010,10/16/2021
Africa,177422320,1554587,10/17/2021
Africa,179009495,1584943,10/18/2021
Africa,180162616,1573967,10/19/2021
Africa,181450140,1547494,10/20/2021
Africa,184054590,1548003,10/21/2021
Africa,184433060,1544280,10/22/2021
Africa,187793558,1545229,10/23/2021
Africa,189917198,1537386,10/24/2021
Africa,190406216,1602673,10/25/2021
Africa,192050405,1676133,10/26/2021
Africa,192425080,1691981,10/27/2021
Africa,194819667,1713227,10/28/2021
Africa,199542343,1727218,10/29/2021
Africa,200779873,1750228,10/30/2021
Africa,202832854,1752229,10/31/2021
Africa,204248022,1668533,11/1/2021
Africa,205581456,1574196,11/2/2021
Africa,206109268,1532248,11/3/2021
Africa,208954096,1500575,11/4/2021
Africa,209234149,1443183,11/5/2021
Africa,211347443,1385441,11/6/2021
Africa,212119285,1422880,11/7/2021
Africa,212704513,1471791,11/8/2021
Africa,213201432,1534378,11/9/2021
Africa,218972996,1605812,11/10/2021
Africa,220967718,1667279,11/11/2021
Africa,221470611,1689768,11/12/2021
Africa,223399868,1721477,11/13/2021
Africa,224477964,1667050,11/14/2021
Africa,225686970,1625275,11/15/2021
Africa,225973777,1573849,11/16/2021
Africa,226966117,1521932,11/17/2021
Africa,230356009,1463259,11/18/2021
Africa,230627215,1467122,11/19/2021
Africa,233167338,1492157,11/20/2021
Africa,235142964,1556493,11/21/2021
Africa,236857195,1619013,11/22/2021
Africa,238072563,1701656,11/23/2021
Africa,241035346,1803977,11/24/2021
Africa,242097650,1926217,11/25/2021
Africa,243447192,1989106,11/26/2021
Africa,244038991,2006414,11/27/2021
Africa,247751946,1987343,11/28/2021
Africa,249878736,2014820,11/29/2021
Africa,251572165,2027959,11/30/2021
Africa,252111874,1988725,12/1/2021
Africa,254300290,1962471,12/2/2021
Africa,256037501,2054091,12/3/2021
Africa,259080236,2018337,12/4/2021
Africa,260130371,1987136,12/5/2021
Africa,263850434,1917592,12/6/2021
Africa,264407550,1858379,12/7/2021
Africa,267606939,1827419,12/8/2021
Africa,272859519,1769091,12/9/2021
Africa,273651295,1683167,12/10/2021
Africa,276287304,1726146,12/11/2021
Africa,277965438,1786029,12/12/2021
Africa,278954895,1834993,12/13/2021
Africa,281490883,1873653,12/14/2021
Africa,284012077,1909497,12/15/2021
Africa,284770762,2028193,12/16/2021
Africa,285083662,2073886,12/17/2021
Africa,287179486,2141118,12/18/2021
Africa,287720341,2204098,12/19/2021
Africa,293177737,2279668,12/20/2021
Africa,293901877,2365724,12/21/2021
Africa,295673776,2451504,12/22/2021
Africa,300623310,2427631,12/23/2021
Africa,303142991,2360807,12/24/2021
Africa,303256871,2286279,12/25/2021
Africa,304853671,2204991,12/26/2021
Africa,305941790,2072479,12/27/2021
Africa,313303289,1935157,12/28/2021
Africa,313697857,1808261,12/29/2021
Africa,314882514,1709892,12/30/2021
Africa,319286814,1730056,12/31/2021
Africa,320075069,1723494,1/1/2022
Africa,320744127,1661930,1/2/2022
Africa,321227369,1662288,1/3/2022
Africa,326325470,1662154,1/4/2022
Africa,327081588,1615451,1/5/2022
Africa,328755920,1598687,1/6/2022
Africa,329631390,1623979,1/7/2022
Africa,331571552,1653791,1/8/2022
Africa,333318870,1730956,1/9/2022
Africa,339048102,1747607,1/10/2022
Africa,339249790,1720329,1/11/2022
Africa,339862524,1736525,1/12/2022
Africa,341017955,1765468,1/13/2022
Africa,342058071,1723557,1/14/2022
Africa,344688117,1693645,1/15/2022
Africa,345627253,1740687,1/16/2022
Africa,348905328,1833256,1/17/2022
Africa,351135392,1869705,1/18/2022
Africa,353376828,1890618,1/19/2022
Africa,353782355,1841702,1/20/2022
Africa,358022004,1764728,1/21/2022
Africa,358969729,1705735,1/22/2022
Africa,360929578,1574283,1/23/2022
Africa,362149086,1413851,1/24/2022
Africa,362310765,1363041,1/25/2022
Africa,363287602,1348752,1/26/2022
Africa,365542840,1354688,1/27/2022
Africa,367022538,1343980,1/28/2022
Africa,368334428,1334176,1/29/2022
Africa,369987685,1336209,1/30/2022
Africa,370731467,1372620,1/31/2022
Africa,371036378,1441420,2/1/2022
Africa,373786596,1476856,2/2/2022
Africa,374143527,1509592,2/3/2022
Africa,374898719,1556241,2/4/2022
Africa,375551764,1611000,2/5/2022
Africa,378477762,1655422,2/6/2022
Africa,380705696,1656987,2/7/2022
Africa,381279635,1584791,2/8/2022
Africa,383106223,1527111,2/9/2022
Africa,385454562,1493796,2/10/2022
Africa,386939044,1464562,2/11/2022
Africa,387278285,1433778,2/12/2022
Africa,387637554,1399316,2/13/2022
Africa,388053761,1388159,2/14/2022
Africa,393281511,1405804,2/15/2022
Africa,394468877,1566311,2/16/2022
Africa,403358464,1750140,2/17/2022
Africa,405745315,1942177,2/18/2022
Africa,409131109,2208693,2/19/2022
Africa,413009382,2396702,2/20/2022
Africa,420988509,2632584,2/21/2022
Africa,423592930,2846875,2/22/2022
Africa,424543602,2800751,2/23/2022
Africa,428468118,2719179,2/24/2022
Africa,430804780,2516248,2/25/2022
Africa,433006606,2332377,2/26/2022
Africa,436080788,2126773,2/27/2022
Africa,436921933,1887301,2/28/2022
Africa,438045958,1640616,3/1/2022
Africa,439168314,1588635,3/2/2022
Africa,439346139,1482574,3/3/2022
Africa,441151489,1502757,3/4/2022
Africa,444478119,1380827,3/5/2022
Africa,463880367,1366562,3/6/2022
Africa,464546115,1374556,3/7/2022
Africa,466623670,1402047,3/8/2022
Africa,469452512,1328181,3/9/2022
Africa,470738566,1268564,3/10/2022
Africa,471940877,1208681,3/11/2022
Africa,471958546,1159213,3/12/2022
Africa,476828628,1115485,3/13/2022
Africa,482199467,1033946,3/14/2022
Africa,486329572,968858,3/15/2022
Africa,486565230,924652,3/16/2022
Africa,488223373,919141,3/17/2022
Africa,490245689,893402,3/18/2022
Africa,490369796,915800,3/19/2022
Africa,492528255,927392,3/20/2022
Africa,493255230,916533,3/21/2022
Africa,493491960,902372,3/22/2022
Africa,494552915,897919,3/23/2022
Africa,496086528,911294,3/24/2022
Africa,496882861,928520,3/25/2022
Africa,497077380,928290,3/26/2022
Africa,501918455,923893,3/27/2022
Africa,502045815,951714,3/28/2022
Africa,503946883,973504,3/29/2022
Africa,504206619,1061693,3/30/2022
Africa,505999264,1137581,3/31/2022
Africa,506926156,1151583,4/1/2022
Africa,507061411,1168214,4/2/2022
Africa,507277590,1194974,4/3/2022
Africa,507974090,1200065,4/4/2022
Africa,508076355,1198372,4/5/2022
Africa,508325014,1120918,4/6/2022
Africa,514372599,1045335,4/7/2022
Africa,514769571,1028258,4/8/2022
Africa,517468681,1021814,4/9/2022
Africa,522174374,997263,4/10/2022
Africa,522260377,941246,4/11/2022
Africa,524573120,898149,4/12/2022
Africa,524655047,844873,4/13/2022
Africa,524814100,790806,4/14/2022
Africa,524874486,736561,4/15/2022
Africa,524889509,672769,4/16/2022
Africa,524897578,630961,4/17/2022
Africa,524972612,623770,4/18/2022
Africa,525032180,609764,4/19/2022
Africa,525092301,606959,4/20/2022
Africa,525190174,607507,4/21/2022
Africa,525279526,611384,4/22/2022
Africa,526650509,621243,4/23/2022
Africa,527427540,617834,4/24/2022
Africa,527470902,643588,4/25/2022
Africa,540831099,675757,4/26/2022
Africa,540986297,783486,4/27/2022
Africa,541033087,882101,4/28/2022
Africa,541148300,988030,4/29/2022
Africa,541867363,1089551,4/30/2022
Africa,545451812,1189733,5/1/2022
Africa,545481703,1182454,5/2/2022
Africa,545505520,1168020,5/3/2022
Africa,545774182,1085922,5/4/2022
Africa,545870074,1011449,5/5/2022
Africa,546029110,931731,5/6/2022
Africa,546155476,858146,5/7/2022
Africa,555191906,793079,5/8/2022
Africa,555211023,777377,5/9/2022
Africa,555448178,782534,5/10/2022
Africa,555590039,771452,5/11/2022
Africa,555779966,762240,5/12/2022
Africa,555956009,747093,5/13/2022
Africa,556630368,739198,5/14/2022
Africa,559284238,740715,5/15/2022
Africa,559451145,863128,5/16/2022
Africa,559544196,965947,5/17/2022
Africa,559756695,1080894,5/18/2022
Africa,559861570,1182706,5/19/2022
Africa,560164220,1287995,5/20/2022
Africa,560256333,1390899,5/21/2022
Africa,565461523,1483410,5/22/2022
Africa,565551976,1405033,5/23/2022
Africa,565622594,1332583,5/24/2022
Africa,565691690,1251780,5/25/2022
Africa,565948332,1178304,5/26/2022
Africa,566158390,1129557,5/27/2022
Africa,566216401,1043059,5/28/2022
Africa,567354348,959783,5/29/2022
Africa,570228913,954384,5/30/2022
Africa,570348486,929956,5/31/2022
Africa,570490475,931270,6/1/2022
Africa,570803797,934590,6/2/2022
Africa,571018223,919362,6/3/2022
Africa,571063720,906388,6/4/2022
Africa,575654197,893419,6/5/2022
Africa,575746091,911258,6/6/2022
Africa,575819709,944375,6/7/2022
Africa,575962857,966868,6/8/2022
Africa,576016666,974713,6/9/2022
Africa,576069449,978005,6/10/2022
Africa,576123752,1010172,6/11/2022
Africa,576176067,1041226,6/12/2022
Africa,576506216,1041128,6/13/2022
Africa,578014356,1041060,6/14/2022
Africa,578210203,1023198,6/15/2022
Africa,578261373,1016521,6/16/2022
Africa,578568320,1006712,6/17/2022
Africa,578604453,995152,6/18/2022
Africa,598255808,986438,6/19/2022
Africa,598645989,1438441,6/20/2022
Africa,598732665,1888819,6/21/2022
Africa,598878837,2343082,6/22/2022
Africa,598993577,2807645,6/23/2022
Africa,599032949,3265070,6/24/2022
Africa,599063437,3722724,6/25/2022
Africa,606478477,4180515,6/26/2022
Africa,607746988,3790807,6/27/2022
Africa,607894121,3454319,6/28/2022
Africa,612693444,3116631,6/29/2022
Africa,612804165,2721586,6/30/2022
Africa,612841986,2325819,7/1/2022
Africa,612868903,1930882,7/2/2022
Africa,622271135,1538622,7/3/2022
Africa,622289032,1516039,7/4/2022
Africa,623221946,1437553,7/5/2022
Africa,623242895,1350672,7/6/2022
Africa,623396119,1311808,7/7/2022
Africa,623464091,1292285,7/8/2022
Africa,623490102,1266654,7/9/2022
Africa,638722242,1238282,7/10/2022
Africa,638764775,1242999,7/11/2022
Africa,638783228,1250318,7/12/2022
Africa,638823556,1266493,7/13/2022
Africa,638855306,1282279,7/14/2022
Africa,638872418,1289075,7/15/2022
Africa,639709987,1302071,7/16/2022
Africa,650408555,1367998,7/17/2022
Africa,650553946,1379994,7/18/2022
Africa,652184275,1391526,7/19/2022
Africa,652216720,1364976,7/20/2022
Africa,652256798,1340054,7/21/2022
Africa,652292849,1315336,7/22/2022
Africa,652312385,1288596,7/23/2022
Africa,657062479,1210963,7/24/2022
Africa,657177517,1154837,7/25/2022
Africa,657202754,1099990,7/26/2022
Africa,658776849,1085674,7/27/2022
Africa,658799682,1059657,7/28/2022
Africa,658820608,1033926,7/29/2022
Africa,658841657,1010526,7/30/2022
Africa,684230976,986249,7/31/2022
Africa,684473766,976917,8/1/2022
Africa,684506059,965085,8/2/2022
Africa,684525604,951289,8/3/2022
Africa,684542278,947775,8/4/2022
Africa,684558308,944431,8/5/2022
Africa,684572560,940603,8/6/2022
Africa,710556780,937505,8/7/2022
Africa,710557989,919864,8/8/2022
Africa,710607751,901549,8/9/2022
Africa,710612865,880940,8/10/2022
Africa,710631591,862420,8/11/2022
Africa,711041330,843896,8/12/2022
Africa,711058293,819088,8/13/2022
Africa,724612872,794005,8/14/2022
Africa,725402644,784466,8/15/2022
Africa,725420824,793622,8/16/2022
Africa,725445375,805334,8/17/2022
Africa,725464418,814460,8/18/2022
Africa,725525549,824229,8/19/2022
Africa,725545386,840822,8/20/2022
Africa,735521829,856393,8/21/2022
Africa,735592251,876738,8/22/2022
Africa,735607214,879751,8/23/2022
Africa,735636873,881999,8/24/2022
Africa,735658702,885513,8/25/2022
Africa,735671479,888046,8/26/2022
Africa,735693517,890090,8/27/2022
Africa,740585298,892621,8/28/2022
Africa,740727759,878937,8/29/2022
Africa,741320089,866308,8/30/2022
Africa,741330902,852033,8/31/2022
Africa,741342115,837380,9/1/2022
Africa,741353232,823171,9/2/2022
Africa,741362787,809118,9/3/2022
Africa,754353533,795845,9/4/2022
Africa,754354221,776288,9/5/2022
Africa,754364096,755894,9/6/2022
Africa,754374760,737139,9/7/2022
Africa,754400909,718255,9/8/2022
Africa,754411537,699362,9/9/2022
Africa,754422048,680650,9/10/2022
Africa,756280521,661728,9/11/2022
Africa,756769770,660197,9/12/2022
Africa,756965792,662447,9/13/2022
Africa,756976177,665197,9/14/2022
Africa,756986586,668000,9/15/2022
Africa,756996846,670801,9/16/2022
Africa,756996846,672921,9/17/2022
Africa,766951890,676196,9/18/2022
Africa,767026756,723334,9/19/2022
Africa,767043256,767511,9/20/2022
Africa,767052792,811126,9/21/2022
Africa,767070980,854664,9/22/2022
Africa,767083141,898783,9/23/2022
Africa,767096737,943833,9/24/2022
Africa,777292163,987668,9/25/2022
Africa,777328588,1022959,9/26/2022
Africa,777649584,1058649,9/27/2022
Africa,777837067,1097587,9/28/2022
Africa,778381262,1142458,9/29/2022
Africa,778389421,1176301,9/30/2022
Africa,778393502,1209328,10/1/2022
Africa,783170935,1243605,10/2/2022
Africa,783172913,1249784,10/3/2022
Africa,783192016,1254328,10/4/2022
Africa,783201962,1255910,10/5/2022
Africa,783210133,1251679,10/6/2022
Africa,783217812,1257857,10/7/2022
Africa,783224393,1264489,10/8/2022
Africa,802356705,1270382,10/9/2022
Africa,802364262,1221258,10/10/2022
Africa,804341641,1174176,10/11/2022
Africa,804349939,1123735,10/12/2022
Africa,804349939,1073279,10/13/2022
Africa,805168144,1022883,10/14/2022
Africa,805176256,1010951,10/15/2022
Africa,816880914,998831,10/16/2022
Africa,817640003,1058874,10/17/2022
Africa,817650196,1079464,10/18/2022
Africa,817659500,1103128,10/19/2022
Africa,819266504,1126812,10/20/2022
Africa,819276673,1139936,10/21/2022
Africa,819276673,1114094,10/22/2022
Africa,824362403,1089142,10/23/2022
Africa,824365685,1065469,10/24/2022
Africa,824723900,1081373,10/25/2022
Africa,824733991,1096381,10/26/2022
Africa,824820445,1111078,10/27/2022
Africa,824828240,1131844,10/28/2022
Africa,824835079,1153115,10/29/2022
Africa,842808779,1173657,10/30/2022
Africa,842808779,1134515,10/31/2022
Africa,842822702,1094337,11/1/2022
Africa,842830731,1055468,11/2/2022
Africa,842948130,1016937,11/3/2022
Africa,842957474,981336,11/4/2022
Africa,842965149,945662,11/5/2022
Africa,848624009,909873,11/6/2022
Africa,848624213,871164,11/7/2022
Africa,848635262,833387,11/8/2022
Africa,848643462,795312,11/9/2022
Africa,848653657,757302,11/10/2022
Africa,848663642,720851,11/11/2022
Africa,848672072,684406,11/12/2022
Africa,867073860,647860,11/13/2022
Africa,867189284,673123,11/14/2022
Africa,867202567,698668,11/15/2022
Africa,867212485,725502,11/16/2022
Africa,867222719,752141,11/17/2022
Africa,867232568,778738,11/18/2022
Africa,867241011,805350,11/19/2022
Africa,874568428,831987,11/20/2022
Africa,874580422,966821,11/21/2022
Africa,874588372,1101370,11/22/2022
Africa,874596100,1234405,11/23/2022
Africa,874604919,1367515,11/24/2022
Africa,874614754,1500818,11/25/2022
Africa,874621822,1633963,11/26/2022
Africa,885416427,1767264,11/27/2022
Africa,886669199,1706632,11/28/2022
Africa,886680473,1637534,11/29/2022
Africa,886689914,1568534,11/30/2022
Africa,886717529,1499373,12/1/2022
Africa,886726778,1429959,12/2/2022
Africa,886733274,1360550,12/3/2022
Africa,889844042,1291188,12/4/2022
Africa,889845760,1296197,12/5/2022
Africa,889851518,1309371,12/6/2022
Africa,889876764,1322682,12/7/2022
Africa,889883758,1335868,12/8/2022
Africa,889890956,1349184,12/9/2022
Africa,889896510,1362642,12/10/2022
Africa,920556082,1376236,12/11/2022
Africa,922114970,1323261,12/12/2022
Africa,922120651,1278654,12/13/2022
Africa,922126269,1234170,12/14/2022
Africa,922132664,1189937,12/15/2022
Africa,922136763,1145392,12/16/2022
Africa,922137222,1100617,12/17/2022
Africa,931615907,1056442,12/18/2022
Africa,931615907,986573,12/19/2022
Africa,931619710,926813,12/20/2022
Africa,931621035,867643,12/21/2022
Africa,932762678,808335,12/22/2022
Africa,932763605,749775,12/23/2022
Africa,932764011,691471,12/24/2022
Africa,933057102,633026,12/25/2022
Africa,933057102,634212,12/26/2022
Africa,933057102,636616,12/27/2022
Africa,933057102,638087,12/28/2022
Africa,933057102,639607,12/29/2022
Africa,933057102,640667,12/30/2022
Africa,933057102,641902,12/31/2022
Africa,934658579,643261,1/1/2023
Africa,935069377,641877,1/2/2023
Africa,935151467,637477,1/3/2023
Africa,935151467,633599,1/4/2023
Africa,935151467,629723,1/5/2023
Africa,935219785,625844,1/6/2023
Africa,935219785,621561,1/7/2023
Africa,945249059,617280,1/8/2023
Africa,945249059,605164,1/9/2023
Africa,945249059,594847,1/10/2023
Africa,945249059,584010,1/11/2023
Africa,945249059,573172,1/12/2023
Africa,945249059,562334,1/13/2023
Africa,945249059,551902,1/14/2023
Africa,953613891,541470,1/15/2023
Africa,953645633,527198,1/16/2023
Africa,953646044,512809,1/17/2023
Africa,953646044,498554,1/18/2023
Africa,953646044,484300,1/19/2023
Africa,953646044,470046,1/20/2023
Africa,953646044,455790,1/21/2023
Africa,955627154,441535,1/22/2023
Africa,955627154,439689,1/23/2023
Africa,955627462,437742,1/24/2023
Africa,955627462,435878,1/25/2023
Africa,955627462,434013,1/26/2023
Africa,955627462,432148,1/27/2023
Africa,955627462,430282,1/28/2023
Africa,956750940,428420,1/29/2023
Africa,956750940,478903,1/30/2023
Africa,957525344,529387,1/31/2023
Africa,957525344,549433,2/1/2023
Africa,957525344,569481,2/2/2023
Africa,957525344,589527,2/3/2023
Africa,957570435,609574,2/4/2023
Africa,968706765,629522,2/5/2023
Africa,968706765,602612,2/6/2023
Africa,968707341,575704,2/7/2023
Africa,968707341,579227,2/8/2023
Africa,968707341,582751,2/9/2023
Africa,968707341,586275,2/10/2023
Africa,968707341,589799,2/11/2023
Africa,976189687,593424,2/12/2023
Africa,976194262,599545,2/13/2023
Africa,976195475,605790,2/14/2023
Africa,976195475,611898,2/15/2023
Africa,976195475,618009,2/16/2023
Africa,976195475,624111,2/17/2023
Africa,976195475,630220,2/18/2023
Africa,991376199,636326,2/19/2023
Africa,991376199,607038,2/20/2023
Africa,993588638,607882,2/21/2023
Africa,993588638,595297,2/22/2023
Africa,993588885,582714,2/23/2023
Africa,993588885,570136,2/24/2023
Africa,993588885,557561,2/25/2023
Africa,997324260,544985,2/26/2023
Africa,997324260,519177,2/27/2023
Africa,997325055,493366,2/28/2023
Africa,997325055,481108,3/1/2023
Africa,997325055,468847,3/2/2023
Africa,997325055,456581,3/3/2023
Africa,997325055,444311,3/4/2023
Africa,1001590130,432043,3/5/2023
Africa,1001590130,464288,3/6/2023
Africa,1001590346,496536,3/7/2023
Africa,1001590346,528805,3/8/2023
Africa,1001590346,561075,3/9/2023
Africa,1001590346,593346,3/10/2023
Africa,1001590346,625616,3/11/2023
Africa,1004775776,657886,3/12/2023
Africa,1004775776,591635,3/13/2023
Africa,1004776433,594070,3/14/2023
Africa,1004840331,596529,3/15/2023
Africa,1004840331,600124,3/16/2023
Africa,1004840331,603721,3/17/2023
Africa,1004840331,607315,3/18/2023
Africa,1020936521,610911,3/19/2023
Africa,1020936521,660949,3/20/2023
Africa,1020937028,711715,3/21/2023
Africa,1020937028,762465,3/22/2023
Africa,1020937028,812077,3/23/2023
Africa,1020937028,861691,3/24/2023
Africa,1020937028,911303,3/25/2023
Africa,1024152488,960914,3/26/2023
Africa,1024152488,939439,3/27/2023
Africa,1024153052,917962,3/28/2023
Africa,1024153052,896472,3/29/2023
Africa,1024153052,874980,3/30/2023
Africa,1024153052,853484,3/31/2023
Africa,1024153052,831992,4/1/2023
Africa,1035545196,810496,4/2/2023
Africa,1035545196,616459,4/3/2023
Africa,1035546047,578471,4/4/2023
Africa,1035546047,540470,4/5/2023
Africa,1035546047,502472,4/6/2023
Africa,1035546047,464476,4/7/2023
Africa,1035546047,426478,4/8/2023
Africa,1037324615,388480,4/9/2023
Africa,1037324615,382517,4/10/2023
Africa,1037324882,376580,4/11/2023
Africa,1037324882,370659,4/12/2023
Africa,1037324882,364736,4/13/2023
Africa,1037324882,358812,4/14/2023
Africa,1037324882,352891,4/15/2023
